# 节点清单 (名称,类型)
# 类型说明: 交叉口=道路交叉口,建筑类节点可按需修改
N1,交叉口
N2,交叉口
N3,交叉口
N4,交叉口
N5,交叉口
N6,交叉口
N7,交叉口
N8,交叉口
N9,交叉口
N10,交叉口
N11,交叉口
N12,交叉口
N13,交叉口
N14,交叉口
N15,交叉口
N16,交叉口
N17,交叉口
N18,交叉口
N19,交叉口
N20,交叉口
N21,交叉口
N22,交叉口
N23,交叉口
N24,交叉口
N25,交叉口
N26,交叉口
N27,交叉口
N28,交叉口
N29,交叉口
N30,交叉口
N31,交叉口
N32,交叉口
N33,交叉口
N34,交叉口
N35,交叉口
N36,交叉口
N37,交叉口
N38,交叉口
N39,交叉口
N40,交叉口
N41,交叉口
N42,交叉口
N43,交叉口
N44,交叉口
N45,交叉口
N46,交叉口
N47,交叉口
N48,交叉口
N49,交叉口
N50,交叉口
N51,交叉口
N52,交叉口
N53,交叉口
N54,交叉口
N55,交叉口
N56,交叉口
N57,交叉口
N58,交叉口
N59,交叉口
N60,交叉口
N61,交叉口
N62,交叉口
N63,交叉口
N64,交叉口

# 边清单 (起点,终点,长度m,宽度m)
# 宽度说明: >=7.0m→通行能力1200pcu/h,>=4.0m→600pcu/h,<4.0m→300pcu/h
# 依据总规图更新: 蓝色交通性主干道=12.0m,橙色生活性次干道=8.0m,支路=6.0m
N1,N2,81.7,12.0
N2,N3,53.2,12.0
N2,N5,114.9,12.0
N4,N3,82.8,6.0
N4,N5,143.8,12.0
N4,N14,73.1,6.0
N6,N5,52.1,6.0
N6,N14,183.0,12.0
N6,N26,113.3,6.0
N7,N4,354.4,12.0
N8,N7,78.1,8.0
N9,N8,83.6,6.0
N9,N10,39.8,12.0
N10,N11,121.2,6.0
N10,N14,231.6,12.0
N11,N12,109.8,8.0
N11,N15,229.4,8.0
N12,N28,291.6,8.0
N13,N12,126.1,6.0
N14,N15,103.7,12.0
N15,N16,140.6,12.0
N15,N27,184.4,8.0
N16,N18,221.4,12.0
N16,N30,85.2,8.0
N17,N6,55.0,12.0
N17,N23,97.9,6.0
N18,N19,207.8,12.0
N18,N25,196.2,8.0
N18,N45,278.2,8.0
N19,N20,77.7,12.0
N20,N18,130.2,6.0
N20,N21,186.6,12.0
N21,N22,46.6,12.0
N22,N24,100.9,12.0
N23,N22,93.6,6.0
N24,N17,89.1,12.0
N24,N25,23.5,6.0
N24,N27,66.9,6.0
N26,N25,34.8,8.0
N26,N27,25.0,8.0
N28,N29,95.6,8.0
N28,N31,283.2,12.0
N28,N44,210.5,6.0
N29,N30,279.5,6.0
N30,N12,140.0,12.0
N31,N32,71.1,6.0
N31,N33,135.1,12.0
N33,N34,115.9,12.0
N33,N46,206.8,12.0
N33,N61,109.2,8.0
N34,N35,300.3,12.0
N34,N58,232.1,6.0
N35,N37,151.5,12.0
N35,N57,98.8,6.0
N36,N35,126.3,6.0
N36,N37,25.8,6.0
N36,N38,137.7,6.0
N37,N38,112.5,8.0
N37,N47,202.2,12.0
N37,N52,210.5,8.0
N38,N48,200.4,6.0
N39,N38,270.4,8.0
N39,N40,65.1,6.0
N39,N41,146.0,8.0
N39,N48,160.6,6.0
N41,N40,80.9,6.0
N41,N42,226.0,8.0
N41,N45,390.0,6.0
N42,N43,112.5,8.0
N42,N44,219.9,8.0
N42,N49,214.5,6.0
N43,N29,212.5,8.0
N43,N32,75.8,8.0
N44,N29,115.0,6.0
N45,N44,179.5,8.0
N46,N32,133.7,8.0
N46,N47,240,12.0
N46,N49,124.6,12.0
N47,N48,122.0,12.0
N49,N40,157.2,6.0
N49,N48,112.4,12.0
N50,N38,207.1,6.0
N52,N50,107.4,6.0
N52,N51,130.6,6.0
N52,N53,296.5,8.0
N54,N53,232.4,8.0
N54,N55,198.8,8.0
N55,N58,263.3,8.0
N56,N55,74.0,6.0
N56,N57,235.8,6.0
N57,N53,192.7,6.0
N58,N59,88.8,8.0
N59,N61,159.2,8.0
N60,N33,32.7,8.0
N60,N61,76.6,8.0
N62,N59,22.5,6.0
N62,N61,137.1,6.0
N30,N63,140,6.0
N63,N64,110,6.0

SYJ,N13,50,99

TYGY,N3,50,99
TYGY,N4,50,99
TYGY,N7,50,99

TYST,N14,30,99
TYST,N14,30,99

XYST,N30,50,99
XYST,N12,50,99
XYST,N28,50,99
XYST,N29,50,99

XYGY,N13,50,99
XYGY,N12,50,99

GYST,N28,50,99
GYST,N29,50,99
GYST,N31,50,99
GYST,N32,50,99

CYGY,N28,50,99

GYGY,N61,50,99
GYGY,N62,50,99

#16栋
T_16,N15,30,99
T_16,N16,30,99

#25栋
T_25,N48,50,99
T_25,N39,50,99
T_25,N38,50,99


#后面教学楼个数
T_1,N25,50,99
T_1,N24,50,99
T_1,N22,50,99
T_1,N18,50,99
T_1,N20,50,99
#5个
T_2,N14,50,99
T_2,N15,50,99
T_2,N6,50,99
T_2,N27,50,99
#3个
T_3,N3,50,99
T_3,N4,50,99
T_3,N5,50,99
T_3,N2,50,99
#3个
T_4,N4,50,99
T_4,N14,50,99
#3个
T_5,N16,50,99
#1个
T_6,N44,50,99
T_6,N45,50,99
#2
T_7,N42,50,99
T_7,N43,50,99
T_7,N32,50,99
T_7,N46,50,99
T_7,N49,50,99
#2
T_8,N42,50,99
T_8,N41,50,99
T_8,N49,50,99
T_8,N40,50,99
#2
T_9,N47,50,99
T_9,N37,50,99
T_9,N38,50,99
T_9,N48,50,99
#2
T_10,N38,50,99
T_10,N50,50,99
#2
