# 节点清单 (名称, 类型)
# 类型说明: 交叉口=道路交叉口, 建筑类节点可按需修改
N1, 交叉口
N2, 交叉口
N3, 交叉口
N4, 交叉口
N5, 交叉口
N6, 交叉口
N7, 交叉口
N8, 交叉口
N9, 交叉口
N10, 交叉口
N11, 交叉口
N12, 交叉口
N13, 交叉口
N14, 交叉口
N15, 交叉口
N16, 交叉口
N17, 交叉口
N18, 交叉口
N19, 交叉口
N20, 交叉口
N21, 交叉口
N22, 交叉口
N23, 交叉口
N24, 交叉口
N25, 交叉口
N26, 交叉口
N27, 交叉口
N28, 交叉口
N29, 交叉口
N30, 交叉口
N31, 交叉口
N32, 交叉口
N33, 交叉口
N34, 交叉口
N35, 交叉口
N36, 交叉口
N37, 交叉口
N38, 交叉口
N39, 交叉口
N40, 交叉口
N41, 交叉口
N42, 交叉口
N43, 交叉口
N44, 交叉口
N45, 交叉口
N46, 交叉口
N47, 交叉口
N48, 交叉口
N49, 交叉口
N50, 交叉口
N51, 交叉口
N52, 交叉口
N53, 交叉口
N54, 交叉口
N55, 交叉口
N56, 交叉口
N57, 交叉口
N58, 交叉口
N59, 交叉口
N60, 交叉口
N61, 交叉口
N62, 交叉口
N63, 交叉口
N64, 交叉口

# 边清单 (起点, 终点, 长度m, 宽度m)
# 宽度说明: >=7.0m→通行能力1200pcu/h, >=4.0m→600pcu/h, <4.0m→300pcu/h
# 依据总规图更新: 蓝色交通性主干道=12.0m, 橙色生活性次干道=8.0m, 支路=6.0m
N1, N2, 81.7, 12.0, 119.62817277, 29.13458115, 119.62900939, 29.13465612
N2, N3, 53.2, 12.0, 119.62900939, 29.13465612, 119.62899866, 29.13513406
N2, N5, 114.9, 12.0, 119.62900939, 29.13465612, 119.62984602, 29.13392515
N4, N3, 82.8, 6.0, 119.62984602, 29.13521840, 119.62899866, 29.13513406
N4, N5, 143.8, 12.0, 119.62984602, 29.13521840, 119.62984602, 29.13392515
N4, N14, 73.1, 6.0, 119.62984602, 29.13521840, 119.63059683, 29.13526526
N6, N5, 52.1, 6.0, 119.63027505, 29.13364400, 119.62984602, 29.13392515
N6, N14, 183.0, 12.0, 119.63027505, 29.13364400, 119.63059683, 29.13526526
N6, N26, 113.3, 6.0, 119.63027505, 29.13364400, 119.63144093, 29.13362358
N7, N4, 354.4, 12.0, 119.62905229, 29.13832964, 119.62984602, 29.13521840
N8, N7, 78.1, 8.0, 119.62985674, 29.13833901, 119.62905229, 29.13832964
N9, N8, 83.6, 6.0, 119.63029651, 29.13769241, 119.62985674, 29.13833901
N9, N10, 39.8, 12.0, 119.63029651, 29.13769241, 119.63033941, 29.13733630
N10, N11, 121.2, 6.0, 119.63033941, 29.13733630, 119.63158362, 29.13742064
N10, N14, 231.6, 12.0, 119.63033941, 29.13733630, 119.63059683, 29.13526526
N11, N12, 109.8, 8.0, 119.63158362, 29.13742064, 119.63270985, 29.13750498
N11, N15, 229.4, 8.0, 119.63158362, 29.13742064, 119.63165870, 29.13535897
N12, N28, 291.6, 8.0, 119.63270985, 29.13750498, 119.63571071, 29.13741171
N13, N12, 126.1, 6.0, 119.63272058, 29.13863889, 119.63270985, 29.13750498
N14, N15, 103.7, 12.0, 119.63059683, 29.13526526, 119.63165870, 29.13535897
N15, N16, 140.6, 12.0, 119.63165870, 29.13535897, 119.63309598, 29.13550891
N15, N27, 184.4, 8.0, 119.63165870, 29.13535897, 119.63168227, 29.13370089
N16, N18, 221.4, 12.0, 119.63309598, 29.13550891, 119.63347769, 29.13354604
N16, N30, 85.2, 8.0, 119.63309598, 29.13550891, 119.63298055, 29.13626843
N17, N6, 55.0, 12.0, 119.63034034, 29.13315244, 119.63027505, 29.13364400
N17, N23, 97.9, 6.0, 119.63034034, 29.13315244, 119.63040288, 29.13227407
N18, N19, 207.8, 12.0, 119.63347769, 29.13354604, 119.63377645, 29.13169537
N18, N25, 196.2, 8.0, 119.63347769, 29.13354604, 119.63147579, 29.13331197
N18, N45, 278.2, 8.0, 119.63347769, 29.13354604, 119.63630554, 29.13394389
N19, N20, 77.7, 12.0, 119.63377645, 29.13169537, 119.63370135, 29.13239122
N20, N18, 130.2, 6.0, 119.63370135, 29.13239122, 119.63347769, 29.13354604
N20, N21, 186.6, 12.0, 119.63370135, 29.13239122, 119.63180004, 29.13214990
N21, N22, 46.6, 12.0, 119.63180004, 29.13214990, 119.63136505, 29.13232774
N22, N24, 100.9, 12.0, 119.63136505, 29.13232774, 119.63125322, 29.13322997
N23, N22, 93.6, 6.0, 119.63040288, 29.13227407, 119.63136505, 29.13232774
N24, N17, 89.1, 12.0, 119.63125322, 29.13322997, 119.63034034, 29.13315244
N24, N25, 23.5, 6.0, 119.63125322, 29.13322997, 119.63147579, 29.13331197
N24, N27, 66.9, 6.0, 119.63125322, 29.13322997, 119.63168227, 29.13370089
N26, N25, 34.8, 8.0, 119.63144093, 29.13362358, 119.63147579, 29.13331197
N26, N27, 25.0, 8.0, 119.63144093, 29.13362358, 119.63168227, 29.13370089
N28, N29, 95.6, 8.0, 119.63571071, 29.13741171, 119.63583942, 29.13655893
N28, N31, 283.2, 12.0, 119.63571071, 29.13741171, 119.63861133, 29.13767367
N28, N44, 210.5, 6.0, 119.63571071, 29.13741171, 119.63608029, 29.13554640
N29, N30, 279.5, 6.0, 119.63583942, 29.13655893, 119.63298055, 29.13626843
N30, N12, 140.0, 12.0, 119.63298055, 29.13626843, 119.63270985, 29.13750498
N31, N32, 71.1, 6.0, 119.63861133, 29.13767367, 119.63875077, 29.13704580
N31, N33, 135.1, 12.0, 119.63861133, 29.13767367, 119.63905109, 29.13882631
N33, N34, 115.9, 12.0, 119.63905109, 29.13882631, 119.63999498, 29.13946353
N33, N46, 206.8, 12.0, 119.63905109, 29.13882631, 119.64011325, 29.13721448
N33, N61, 109.2, 8.0, 119.63905109, 29.13882631, 119.63887631, 29.13979664
N34, N35, 300.3, 12.0, 119.63999498, 29.13946353, 119.64300926, 29.13886379
N34, N58, 232.1, 6.0, 119.63999498, 29.13946353, 119.63962075, 29.14152513
N35, N37, 151.5, 12.0, 119.64300926, 29.13886379, 119.64366355, 29.13762681
N35, N57, 98.8, 6.0, 119.64300926, 29.13886379, 119.64348210, 29.13965095
N36, N35, 126.3, 6.0, 119.64359919, 29.13785172, 119.64300926, 29.13886379
N36, N37, 25.8, 6.0, 119.64359919, 29.13785172, 119.64366355, 29.13762681
N36, N38, 137.7, 6.0, 119.64359919, 29.13785172, 119.64367427, 29.13661472
N37, N38, 112.5, 8.0, 119.64366355, 29.13762681, 119.64367427, 29.13661472
N37, N47, 202.2, 12.0, 119.64366355, 29.13762681, 119.64159344, 29.13743002
N37, N52, 210.5, 8.0, 119.64366355, 29.13762681, 119.64580964, 29.13788920
N38, N48, 200.4, 6.0, 119.64367427, 29.13661472, 119.64163634, 29.13633359
N39, N38, 270.4, 8.0, 119.64171142, 29.13489040, 119.64367427, 29.13661472
N39, N40, 65.1, 6.0, 119.64171142, 29.13489040, 119.64104641, 29.13481543
N39, N41, 146.0, 8.0, 119.64171142, 29.13489040, 119.64022051, 29.13472172
N39, N48, 160.6, 6.0, 119.64171142, 29.13489040, 119.64163634, 29.13633359
N41, N40, 80.9, 6.0, 119.64022051, 29.13472172, 119.64104641, 29.13481543
N41, N42, 226.0, 8.0, 119.64022051, 29.13472172, 119.63831129, 29.13588376
N41, N45, 390.0, 6.0, 119.64022051, 29.13472172, 119.63630554, 29.13394389
N42, N43, 112.5, 8.0, 119.63831129, 29.13588376, 119.63800024, 29.13685837
N42, N44, 219.9, 8.0, 119.63831129, 29.13588376, 119.63608029, 29.13554640
N42, N49, 214.5, 6.0, 119.63831129, 29.13588376, 119.64049939, 29.13614616
N43, N29, 212.5, 8.0, 119.63800024, 29.13685837, 119.63583942, 29.13655893
N43, N32, 75.8, 8.0, 119.63800024, 29.13685837, 119.63875077, 29.13704580
N44, N29, 115.0, 6.0, 119.63608029, 29.13554640, 119.63583942, 29.13655893
N45, N44, 179.5, 8.0, 119.63630554, 29.13394389, 119.63608029, 29.13554640
N46, N32, 133.7, 8.0, 119.64011325, 29.13721448, 119.63875077, 29.13704580
N46, N47, 240, 12.0, 119.64011325, 29.13721448, 119.64159344, 29.13743002
N46, N49, 124.6, 12.0, 119.64011325, 29.13721448, 119.64049939, 29.13614616
N47, N48, 122.0, 12.0, 119.64159344, 29.13743002, 119.64163634, 29.13633359
N49, N40, 157.2, 6.0, 119.64049939, 29.13614616, 119.64104641, 29.13481543
N49, N48, 112.4, 12.0, 119.64049939, 29.13614616, 119.64163634, 29.13633359
N50, N38, 207.1, 6.0, 119.64577746, 29.13692397, 119.64367427, 29.13661472
N52, N50, 107.4, 6.0, 119.64580964, 29.13788920, 119.64577746, 29.13692397
N52, N51, 130.6, 6.0, 119.64580964, 29.13788920, 119.64712893, 29.13811411
N52, N53, 296.5, 8.0, 119.64580964, 29.13788920, 119.64520898, 29.14050371
N54, N53, 232.4, 8.0, 119.64426510, 29.14242472, 119.64520898, 29.14050371
N54, N55, 198.8, 8.0, 119.64426510, 29.14242472, 119.64225934, 29.14206863
N55, N58, 263.3, 8.0, 119.64225934, 29.14206863, 119.63962075, 29.14152513
N56, N55, 74.0, 6.0, 119.64213063, 29.14141268, 119.64225934, 29.14206863
N56, N57, 235.8, 6.0, 119.64213063, 29.14141268, 119.64348210, 29.13965095
N57, N53, 192.7, 6.0, 119.64348210, 29.13965095, 119.64520898, 29.14050371
N58, N59, 88.8, 8.0, 119.63962075, 29.14152513, 119.63877340, 29.14122526
N59, N61, 159.2, 8.0, 119.63877340, 29.14122526, 119.63887631, 29.13979664
N60, N33, 32.7, 8.0, 119.63898885, 29.13911512, 119.63905109, 29.13882631
N60, N61, 76.6, 8.0, 119.63898885, 29.13911512, 119.63887631, 29.13979664
N62, N59, 22.5, 6.0, 119.63874760, 29.14102423, 119.63877340, 29.14122526
N62, N61, 137.1, 6.0, 119.63874760, 29.14102423, 119.63887631, 29.13979664
N30, N63, 140, 6.0, 119.63298055, 29.13626843, 119.63160753, 29.13622825
N63, N64, 110, 6.0, 119.63160753, 29.13622825, 119.63052392,29.13619077

SYJ, N13, 50, 99, 119.63307610, 29.13815514, 119.63272058, 29.13863889

TYGY, N3, 50, 99, 119.62954747, 29.13636994, 119.62899866, 29.13513406
TYGY, N4, 50, 99, 119.62954747, 29.13636994, 119.62984602, 29.13521840
TYGY, N7, 50, 99, 119.62954747, 29.13636994, 119.62905229, 29.13832964

TYST, N14, 30, 99, 119.63104886, 29.13651519, 119.63059683, 29.13526526
TYST, N14, 30, 99, 119.63104886, 29.13651519, 119.63059683, 29.13526526

XYST, N30, 50, 99, 119.63428269, 29.13708215, 119.63298055, 29.13626843
XYST, N12, 50, 99, 119.63428269, 29.13708215, 119.63270985, 29.13750498
XYST, N28, 50, 99, 119.63428269, 29.13708215, 119.63571071, 29.13741171
XYST, N29, 50, 99, 119.63428269, 29.13708215, 119.63583942, 29.13655893

XYGY, N13, 50, 99, 119.63465289, 29.13815983, 119.63272058, 29.13863889
XYGY, N12, 50, 99, 119.63465289, 29.13815983, 119.63270985, 29.13750498

GYST, N28, 50, 99, 119.63696702, 29.13702391, 119.63571071, 29.13741171
GYST, N29, 50, 99, 119.63696702, 29.13702391, 119.63583942, 29.13655893
GYST, N31, 50, 99, 119.63696702, 29.13702391, 119.63861133, 29.13767367
GYST, N32, 50, 99, 119.63696702, 29.13702391, 119.63875077, 29.13704580

CYGY, N28, 50, 99, 119.63741735, 29.13842020, 119.63571071, 29.13741171

GYGY, N61, 50, 99, 119.63801779, 29.14045370, 119.63887631, 29.13979664
GYGY, N62, 50, 99, 119.63801779, 29.14045370, 119.63874760, 29.14102423

#16栋
T_16, N15, 30, 99, 119.63231395, 29.13503921, 119.63165870, 29.13535897
