node,type,lon,lat
N1,交叉口,119.62817277,29.13458115
N2,交叉口,119.62900939,29.13465612
N3,交叉口,119.62899866,29.13513406
N4,交叉口,119.62984602,29.1352184
N5,交叉口,119.62984602,29.13392515
N6,交叉口,119.63027505,29.133644
N7,交叉口,119.62905229,29.13832964
N8,交叉口,119.62985674,29.13833901
N9,交叉口,119.63029651,29.13769241
N10,交叉口,119.63033941,29.1373363
N11,交叉口,119.63158362,29.13742064
N12,交叉口,119.63270985,29.13750498
N13,交叉口,119.63272058,29.13863889
N14,交叉口,119.63059683,29.13526526
N15,交叉口,119.6316587,29.13535897
N16,交叉口,119.63309598,29.13550891
N17,交叉口,119.63034034,29.13315244
N18,交叉口,119.63347769,29.13354604
N19,交叉口,119.63377645,29.13169537
N20,交叉口,119.63370135,29.13239122
N21,交叉口,119.63180004,29.1321499
N22,交叉口,119.63136505,29.13232774
N23,交叉口,119.63040288,29.13227407
N24,交叉口,119.63125322,29.13322997
N25,交叉口,119.63147579,29.13331197
N26,交叉口,119.63144093,29.13362358
N27,交叉口,119.63168227,29.13370089
N28,交叉口,119.63571071,29.13741171
N29,交叉口,119.63583942,29.13655893
N30,交叉口,119.63298055,29.13626843
N31,交叉口,119.63861133,29.13767367
N32,交叉口,119.63875077,29.1370458
N33,交叉口,119.63905109,29.13882631
N34,交叉口,119.63999498,29.13946353
N35,交叉口,119.64300926,29.13886379
N36,交叉口,119.64359919,29.13785172
N37,交叉口,119.64366355,29.13762681
N38,交叉口,119.64367427,29.13661472
N39,交叉口,119.64171142,29.1348904
N40,交叉口,119.64104641,29.13481543
N41,交叉口,119.64022051,29.13472172
N42,交叉口,119.63831129,29.13588376
N43,交叉口,119.63800024,29.13685837
N44,交叉口,119.63608029,29.1355464
N45,交叉口,119.63630554,29.13394389
N46,交叉口,119.64011325,29.13721448
N47,交叉口,119.64159344,29.13743002
N48,交叉口,119.64163634,29.13633359
N49,交叉口,119.64049939,29.13614616
N50,交叉口,119.64577746,29.13692397
N51,交叉口,119.64712893,29.13811411
N52,交叉口,119.64580964,29.1378892
N53,交叉口,119.64520898,29.14050371
N54,交叉口,119.6442651,29.14242472
N55,交叉口,119.64225934,29.14206863
N56,交叉口,119.64213063,29.14141268
N57,交叉口,119.6434821,29.13965095
N58,交叉口,119.63962075,29.14152513
N59,交叉口,119.6387734,29.14122526
N60,交叉口,119.63898885,29.13911512
N61,交叉口,119.63887631,29.13979664
N62,交叉口,119.6387476,29.14102423
N63,交叉口,119.63160753,29.13622825
N64,交叉口,119.63052392,29.13619077
SYJ,商业街,119.6330761,29.13815514
TYGY,宿舍,119.62954747,29.13636994
TYST,食堂,119.63104886,29.13651519
XYST,食堂,119.63428269,29.13708215
XYGY,宿舍,119.63465289,29.13815983
GYST,食堂,119.63696702,29.13702391
CYGY,宿舍,119.63741735,29.1384202
GYGY,宿舍,119.63801779,29.1404537
T_16,教学楼,119.63231395,29.13503921
T_25,教学楼,119.64243197,29.13583678
T_1,教学楼,119.63125996,29.13267291
T_2,教学楼,119.63103961,29.13452948
T_3,教学楼,119.63012757,29.13569152
T_4,教学楼,119.62901829,29.13572332
T_5,教学楼,119.63377062,29.13525944
T_6,教学楼,119.63687288,29.13475673
T_7,教学楼,119.63924121,29.13657711
T_8,教学楼,119.64003742,29.1356025
T_9,教学楼,119.64290324,29.13704265
T_10,教学楼,119.64466033,29.13632409
