node_id,node_type,zone_id,zone_name,zone_type,demand_morning_total,demand_morning_ebike,demand_noon_total,demand_noon_ebike,demand_evening_total,demand_evening_ebike,vc_max_morning,risk_max_morning,vc_max_noon,risk_max_noon,vc_max_evening,risk_max_evening,N_opt,rho,status
N1,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N2,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N3,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,3080.0,0.0039,1012.3,0.0155,15703.1,0,0.0,
N4,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.2488,756869.9,0.9006,181562.6,1.2513,901007.9,0,0.0,
N5,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1552,4895.7,0.2476,10611.7,0.0241,127.4,0,0.0,
N6,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1552,4895.7,0.2476,10611.7,0.0241,127.4,0,0.0,
N7,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N8,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N9,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N10,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N11,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N12,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,239888.8,0.1591,1290576.9,0.0808,359864.9,0,0.0,
N13,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,794372.5,0.0,0.0,0,0.0,
N14,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.2488,657970.3,0.9006,262340.5,1.2513,676122.3,0,0.0,
N15,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1011,478651.3,0.0569,158226.0,0.0864,386147.9,0,0.0,
N16,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9669,255873.1,1.4095,544431.0,0.6353,143250.4,0,0.0,
N17,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N18,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N19,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N20,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N21,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N22,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N23,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N24,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N25,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2374,18051.4,0.3044,27772.6,0.2476,22096.6,0,0.0,
N26,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2374,13538.6,0.3044,20829.4,0.2476,16572.4,0,0.0,
N27,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2374,18051.4,0.3044,27772.6,0.2476,22096.6,0,0.0,
N28,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.067,195293.8,0.0757,245935.0,0.0835,337152.0,0,0.0,
N29,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3044,106594.3,0.3314,202038.8,0.2883,84835.9,0,0.0,
N30,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9669,321990.2,1.4095,725908.0,0.6353,147077.5,0,0.0,
N31,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4196,47423.7,0.2458,16468.7,0.4163,27591.2,0,0.0,
N32,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,577859.2,0.1667,1005077.2,0.4163,858842.9,0,0.0,
N33,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4506,47053.6,0.2796,16468.7,0.3195,27591.2,0,0.0,
N34,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N35,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N36,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N37,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N38,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0227,18360.6,0.027,28028.9,0.0258,23759.6,0,0.0,
N39,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N40,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N41,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N42,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,18366.1,0.0245,27820.3,0.0207,22782.6,0,0.0,
N43,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N44,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3044,18366.1,0.3314,24967.6,0.2883,22563.5,0,0.0,
N45,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N46,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0748,3282.0,0.0,0.0,0.0,0.0,0,0.0,
N47,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N48,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7347,148026.0,0.868,224758.1,0.8156,192135.6,0,0.0,
N49,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7347,296051.9,0.868,449516.3,0.8156,384271.3,0,0.0,
N50,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N51,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N52,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N53,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N54,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N55,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N56,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N57,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N58,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N59,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N60,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.291,15318.1,0.0891,1442.7,0.1524,4315.9,0,0.0,
N61,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4506,132623.3,0.2796,32937.4,0.3195,55182.4,0,0.0,
N62,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N63,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
N64,交叉口,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
SYJ,商业街,Z8,商业街,商业区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,794372.5,0.0,0.0,823,2.553,超载
