period,from_zone,to_zone,from_name,to_name,ebike_flow
morning,Z3,Z1,桃园生活区,16幢教学区,329.0625
morning,Z3,Z2,桃园生活区,25幢教学区,510.7142857142857
morning,Z3,Z6,桃园生活区,东区新教学楼,329.0625
morning,Z3,Z7,桃园生活区,西区新教学楼,723.9375000000001
morning,Z4,Z1,杏园生活区,16幢教学区,177.1875
morning,Z4,Z2,杏园生活区,25幢教学区,275.0
morning,Z4,Z6,杏园生活区,东区新教学楼,219.7125
morning,Z4,Z7,杏园生活区,西区新教学楼,262.2375
morning,Z5,Z1,桂苑生活区,16幢教学区,354.375
morning,Z5,Z2,桂苑生活区,25幢教学区,250.0
morning,Z5,Z6,桂苑生活区,东区新教学楼,372.6000000000001
morning,Z5,Z7,桂苑生活区,西区新教学楼,342.225
noon,Z1,Z3,16幢教学区,桃园生活区,162.91185785448175
noon,Z1,Z4,16幢教学区,杏园生活区,128.67613153220728
noon,Z1,Z5,16幢教学区,桂苑生活区,143.94123285680678
noon,Z1,Z8,16幢教学区,商业街,211.47088790984515
noon,Z2,Z3,25幢教学区,桃园生活区,145.83165500605222
noon,Z2,Z4,25幢教学区,杏园生活区,100.14128046879286
noon,Z2,Z5,25幢教学区,桂苑生活区,109.57866672100647
noon,Z2,Z8,25幢教学区,商业街,405.8363678721877
noon,Z6,Z3,东区新教学楼,桃园生活区,369.41761519618234
noon,Z6,Z4,东区新教学楼,杏园生活区,195.81944004940166
noon,Z6,Z5,东区新教学楼,桂苑生活区,270.3073306484678
noon,Z6,Z8,东区新教学楼,商业街,502.4214496022691
noon,Z7,Z3,西区新教学楼,桃园生活区,381.00001699007277
noon,Z7,Z4,西区新教学楼,杏园生活区,229.27825537456172
noon,Z7,Z5,西区新教学楼,桂苑生活区,298.07444131195183
noon,Z7,Z8,西区新教学楼,商业街,737.9423970670526
evening,Z1,Z3,16幢教学区,桃园生活区,313.39285714285717
evening,Z1,Z4,16幢教学区,杏园生活区,168.75
evening,Z1,Z5,16幢教学区,桂苑生活区,337.5
evening,Z2,Z3,25幢教学区,桃园生活区,459.6428571428572
evening,Z2,Z4,25幢教学区,杏园生活区,247.50000000000003
evening,Z2,Z5,25幢教学区,桂苑生活区,225.00000000000003
evening,Z6,Z3,东区新教学楼,桃园生活区,522.3214285714287
evening,Z6,Z4,东区新教学楼,杏园生活区,348.75
evening,Z6,Z5,东区新教学楼,桂苑生活区,591.4285714285714
evening,Z7,Z3,西区新教学楼,桃园生活区,1149.1071428571427
evening,Z7,Z4,西区新教学楼,杏园生活区,416.25
evening,Z7,Z5,西区新教学楼,桂苑生活区,543.2142857142858
