building,stop_id,stop_name,distance_m,covered
SYJ,S1,桂苑站,250,1
SYJ,S2,桃园站,568,0
SYJ,S3,杏园站,150,1
SYJ,S4,16幢站,395,1
SYJ,S5,25幢站,562,0
SYJ,S6,商业街站,50,1
SYJ,S7,东区教学楼站,655,0
SYJ,S8,西区教学楼站,450,0
TYGY,S1,桂苑站,468,0
TYGY,S2,桃园站,50,1
TYGY,S3,杏园站,468,0
TYGY,S4,16幢站,223,1
TYGY,S5,25幢站,781,0
TYGY,S6,商业街站,568,0
TYGY,S7,东区教学楼站,383,1
TYGY,S8,西区教学楼站,668,0
TYST,S1,桂苑站,375,1
TYST,S2,桃园站,103,1
TYST,S3,杏园站,375,1
TYST,S4,16幢站,130,1
TYST,S5,25幢站,688,0
TYST,S6,商业街站,475,0
TYST,S7,东区教学楼站,290,1
TYST,S8,西区教学楼站,575,0
XYST,S1,桂苑站,50,1
XYST,S2,桃园站,368,1
XYST,S3,杏园站,50,1
XYST,S4,16幢站,195,1
XYST,S5,25幢站,362,1
XYST,S6,商业街站,150,1
XYST,S7,东区教学楼站,455,0
XYST,S8,西区教学楼站,250,1
XYGY,S1,桂苑站,150,1
XYGY,S2,桃园站,468,0
XYGY,S3,杏园站,50,1
XYGY,S4,16幢站,295,1
XYGY,S5,25幢站,462,0
XYGY,S6,商业街站,50,1
XYGY,S7,东区教学楼站,555,0
XYGY,S8,西区教学楼站,350,1
GYST,S1,桂苑站,50,1
GYST,S2,桃园站,468,0
GYST,S3,杏园站,150,1
GYST,S4,16幢站,295,1
GYST,S5,25幢站,262,1
GYST,S6,商业街站,250,1
GYST,S7,东区教学楼站,555,0
GYST,S8,西区教学楼站,150,1
CYGY,S1,桂苑站,50,1
CYGY,S2,桃园站,468,0
CYGY,S3,杏园站,150,1
CYGY,S4,16幢站,295,1
CYGY,S5,25幢站,362,1
CYGY,S6,商业街站,250,1
CYGY,S7,东区教学楼站,555,0
CYGY,S8,西区教学楼站,250,1
GYGY,S1,桂苑站,394,1
GYGY,S2,桃园站,813,0
GYGY,S3,杏园站,494,0
GYGY,S4,16幢站,640,0
GYGY,S5,25幢站,578,0
GYGY,S6,商业街站,594,0
GYGY,S7,东区教学楼站,899,0
GYGY,S8,西区教学楼站,465,0
T_16,S1,桂苑站,215,1
T_16,S2,桃园站,203,1
T_16,S3,杏园站,215,1
T_16,S4,16幢站,30,1
T_16,S5,25幢站,528,0
T_16,S6,商业街站,315,1
T_16,S7,东区教学楼站,290,1
T_16,S8,西区教学楼站,415,0
T_25,S1,桂苑站,362,1
T_25,S2,桃园站,781,0
T_25,S3,杏园站,462,0
T_25,S4,16幢站,608,0
T_25,S5,25幢站,50,1
T_25,S6,商业街站,562,0
T_25,S7,东区教学楼站,867,0
T_25,S8,西区教学楼站,215,1
T_1,S1,桂苑站,455,0
T_1,S2,桃园站,283,1
T_1,S3,杏园站,455,0
T_1,S4,16幢站,210,1
T_1,S5,25幢站,767,0
T_1,S6,商业街站,555,0
T_1,S7,东区教学楼站,50,1
T_1,S8,西区教学楼站,648,0
T_2,S1,桂苑站,295,1
T_2,S2,桃园站,123,1
T_2,S3,杏园站,295,1
T_2,S4,16幢站,50,1
T_2,S5,25幢站,608,0
T_2,S6,商业街站,395,1
T_2,S7,东区教学楼站,210,1
T_2,S8,西区教学楼站,495,0
T_3,S1,桂苑站,447,0
T_3,S2,桃园站,50,1
T_3,S3,杏园站,447,0
T_3,S4,16幢站,202,1
T_3,S5,25幢站,760,0
T_3,S6,商业街站,547,0
T_3,S7,东区教学楼站,346,1
T_3,S8,西区教学楼站,647,0
T_4,S1,桂苑站,395,1
T_4,S2,桃园站,50,1
T_4,S3,杏园站,395,1
T_4,S4,16幢站,150,1
T_4,S5,25幢站,708,0
T_4,S6,商业街站,495,0
T_4,S7,东区教学楼站,310,1
T_4,S8,西区教学楼站,595,0
T_5,S1,桂苑站,235,1
T_5,S2,桃园站,283,1
T_5,S3,杏园站,235,1
T_5,S4,16幢站,110,1
T_5,S5,25幢站,548,0
T_5,S6,商业街站,335,1
T_5,S7,东区教学楼站,370,1
T_5,S8,西区教学楼站,435,0
T_6,S1,桂苑站,260,1
T_6,S2,桃园站,583,0
T_6,S3,杏园站,265,1
T_6,S4,16幢站,410,0
T_6,S5,25幢站,477,0
T_6,S6,商业街站,365,1
T_6,S7,东区教学楼站,428,0
T_6,S8,西区教学楼站,270,1
T_7,S1,桂苑站,150,1
T_7,S2,桃园站,568,0
T_7,S3,杏园站,250,1
T_7,S4,16幢站,395,1
T_7,S5,25幢站,162,1
T_7,S6,商业街站,350,1
T_7,S7,东区教学楼站,655,0
T_7,S8,西区教学楼站,50,1
T_8,S1,桂苑站,250,1
T_8,S2,桃园站,668,0
T_8,S3,杏园站,350,1
T_8,S4,16幢站,495,0
T_8,S5,25幢站,162,1
T_8,S6,商业街站,450,0
T_8,S7,东区教学楼站,748,0
T_8,S8,西区教学楼站,50,1
T_9,S1,桂苑站,362,1
T_9,S2,桃园站,781,0
T_9,S3,杏园站,462,0
T_9,S4,16幢站,608,0
T_9,S5,25幢站,50,1
T_9,S6,商业街站,562,0
T_9,S7,东区教学楼站,867,0
T_9,S8,西区教学楼站,262,1
T_10,S1,桂苑站,462,0
T_10,S2,桃园站,881,0
T_10,S3,杏园站,562,0
T_10,S4,16幢站,708,0
T_10,S5,25幢站,150,1
T_10,S6,商业街站,662,0
T_10,S7,东区教学楼站,967,0
T_10,S8,西区教学楼站,315,1
