period,period_name,n_vehicles,headway_min,Q_cap,load_factor,operation_cost,waiting_cost,waste_cost,total_cost,feasible
morning,早高峰,1,5.80,194.0,2.305,360.00,777.99,0.00,1137.99,False
morning,早高峰,2,2.90,387.9,1.153,720.00,388.99,0.00,1108.99,False
morning,早高峰,3,1.93,581.9,0.768,1080.00,259.33,26.96,1366.28,True
morning,早高峰,4,1.45,775.9,0.576,1440.00,194.50,65.75,1700.25,True
morning,早高峰,5,1.16,969.8,0.461,1800.00,155.60,104.54,2060.14,True
morning,早高峰,6,0.97,1163.8,0.384,2160.00,129.66,143.33,2433.00,True
morning,早高峰,7,0.83,1357.8,0.329,2520.00,111.14,182.13,2813.27,True
morning,早高峰,8,0.72,1551.7,0.288,2880.00,97.25,220.92,3198.17,True
morning,早高峰,9,0.64,1745.7,0.256,3240.00,86.44,259.71,3586.16,True
morning,早高峰,10,0.58,1939.7,0.231,3600.00,77.80,298.51,3976.31,True
morning,早高峰,11,0.53,2133.6,0.210,3960.00,70.73,337.30,4368.03,True
morning,早高峰,12,0.48,2327.6,0.192,4320.00,64.83,376.09,4760.93,True
morning,早高峰,13,0.45,2521.6,0.177,4680.00,59.85,414.89,5154.73,True
morning,早高峰,14,0.41,2715.5,0.165,5040.00,55.57,453.68,5549.25,True
morning,早高峰,15,0.39,2909.5,0.154,5400.00,51.87,492.47,5944.34,True
morning,早高峰,16,0.36,3103.4,0.144,5760.00,48.62,531.27,6339.89,True
morning,早高峰,17,0.34,3297.4,0.136,6120.00,45.76,570.06,6735.82,True
morning,早高峰,18,0.32,3491.4,0.128,6480.00,43.22,608.85,7132.07,True
morning,早高峰,19,0.31,3685.3,0.121,6840.00,40.95,647.64,7528.59,True
morning,早高峰,20,0.29,3879.3,0.115,7200.00,38.90,686.44,7925.34,True
morning,早高峰,21,0.28,4073.3,0.110,7560.00,37.05,725.23,8322.28,True
morning,早高峰,22,0.26,4267.2,0.105,7920.00,35.36,764.02,8719.39,True
morning,早高峰,23,0.25,4461.2,0.100,8280.00,33.83,802.82,9116.64,True
morning,早高峰,24,0.24,4655.2,0.096,8640.00,32.42,841.61,9514.03,True
morning,早高峰,25,0.23,4849.1,0.092,9000.00,31.12,880.40,9911.52,True
morning,早高峰,26,0.22,5043.1,0.089,9360.00,29.92,919.20,10309.12,True
morning,早高峰,27,0.21,5237.1,0.085,9720.00,28.81,957.99,10706.80,True
morning,早高峰,28,0.21,5431.0,0.082,10080.00,27.79,996.78,11104.57,True
morning,早高峰,29,0.20,5625.0,0.079,10440.00,26.83,1035.58,11502.40,True
morning,早高峰,30,0.19,5819.0,0.077,10800.00,25.93,1074.37,11900.30,True
noon,午高峰,1,5.80,215.5,2.397,400.00,898.94,0.00,1298.94,False
noon,午高峰,2,2.90,431.0,1.199,800.00,449.47,0.00,1249.47,False
noon,午高峰,3,1.93,646.6,0.799,1200.00,299.65,25.98,1525.63,True
noon,午高峰,4,1.45,862.1,0.599,1600.00,224.73,69.09,1893.82,True
noon,午高峰,5,1.16,1077.6,0.479,2000.00,179.79,112.19,2291.98,True
noon,午高峰,6,0.97,1293.1,0.400,2400.00,149.82,155.29,2705.12,True
noon,午高峰,7,0.83,1508.6,0.342,2800.00,128.42,198.40,3126.82,True
noon,午高峰,8,0.72,1724.1,0.300,3200.00,112.37,241.50,3553.87,True
noon,午高峰,9,0.64,1939.7,0.266,3600.00,99.88,284.60,3984.49,True
noon,午高峰,10,0.58,2155.2,0.240,4000.00,89.89,327.71,4417.60,True
noon,午高峰,11,0.53,2370.7,0.218,4400.00,81.72,370.81,4852.53,True
noon,午高峰,12,0.48,2586.2,0.200,4800.00,74.91,413.92,5288.83,True
noon,午高峰,13,0.45,2801.7,0.184,5200.00,69.15,457.02,5726.17,True
noon,午高峰,14,0.41,3017.2,0.171,5600.00,64.21,500.12,6164.33,True
noon,午高峰,15,0.39,3232.8,0.160,6000.00,59.93,543.23,6603.15,True
noon,午高峰,16,0.36,3448.3,0.150,6400.00,56.18,586.33,7042.51,True
noon,午高峰,17,0.34,3663.8,0.141,6800.00,52.88,629.43,7482.31,True
noon,午高峰,18,0.32,3879.3,0.133,7200.00,49.94,672.54,7922.48,True
noon,午高峰,19,0.31,4094.8,0.126,7600.00,47.31,715.64,8362.95,True
noon,午高峰,20,0.29,4310.3,0.120,8000.00,44.95,758.74,8803.69,True
noon,午高峰,21,0.28,4525.9,0.114,8400.00,42.81,801.85,9244.65,True
noon,午高峰,22,0.26,4741.4,0.109,8800.00,40.86,844.95,9685.81,True
noon,午高峰,23,0.25,4956.9,0.104,9200.00,39.08,888.05,10127.14,True
noon,午高峰,24,0.24,5172.4,0.100,9600.00,37.46,931.16,10568.61,True
noon,午高峰,25,0.23,5387.9,0.096,10000.00,35.96,974.26,11010.22,True
noon,午高峰,26,0.22,5603.4,0.092,10400.00,34.57,1017.36,11451.94,True
noon,午高峰,27,0.21,5819.0,0.089,10800.00,33.29,1060.47,11893.76,True
noon,午高峰,28,0.21,6034.5,0.086,11200.00,32.10,1103.57,12335.68,True
noon,午高峰,29,0.20,6250.0,0.083,11600.00,31.00,1146.67,12777.67,True
noon,午高峰,30,0.19,6465.5,0.080,12000.00,29.96,1189.78,13219.74,True
evening,晚高峰,1,5.80,172.4,2.634,320.00,790.23,0.00,1110.23,False
evening,晚高峰,2,2.90,344.8,1.317,640.00,395.12,0.00,1035.12,False
evening,晚高峰,3,1.93,517.2,0.878,960.00,263.41,12.62,1236.03,True
evening,晚高峰,4,1.45,689.7,0.659,1280.00,197.56,47.10,1524.66,True
evening,晚高峰,5,1.16,862.1,0.527,1600.00,158.05,81.58,1839.63,True
evening,晚高峰,6,0.97,1034.5,0.439,1920.00,131.71,116.06,2167.77,True
evening,晚高峰,7,0.83,1206.9,0.376,2240.00,112.89,150.55,2503.44,True
evening,晚高峰,8,0.72,1379.3,0.329,2560.00,98.78,185.03,2843.81,True
evening,晚高峰,9,0.64,1551.7,0.293,2880.00,87.80,219.51,3187.32,True
evening,晚高峰,10,0.58,1724.1,0.263,3200.00,79.02,254.00,3533.02,True
evening,晚高峰,11,0.53,1896.6,0.239,3520.00,71.84,288.48,3880.32,True
evening,晚高峰,12,0.48,2069.0,0.220,3840.00,65.85,322.96,4228.81,True
evening,晚高峰,13,0.45,2241.4,0.203,4160.00,60.79,357.44,4578.23,True
evening,晚高峰,14,0.41,2413.8,0.188,4480.00,56.45,391.93,4928.37,True
evening,晚高峰,15,0.39,2586.2,0.176,4800.00,52.68,426.41,5279.09,True
evening,晚高峰,16,0.36,2758.6,0.165,5120.00,49.39,460.89,5630.28,True
evening,晚高峰,17,0.34,2931.0,0.155,5440.00,46.48,495.38,5981.86,True
evening,晚高峰,18,0.32,3103.4,0.146,5760.00,43.90,529.86,6333.76,True
evening,晚高峰,19,0.31,3275.9,0.139,6080.00,41.59,564.34,6685.93,True
evening,晚高峰,20,0.29,3448.3,0.132,6400.00,39.51,598.82,7038.34,True
evening,晚高峰,21,0.28,3620.7,0.125,6720.00,37.63,633.31,7390.94,True
evening,晚高峰,22,0.26,3793.1,0.120,7040.00,35.92,667.79,7743.71,True
evening,晚高峰,23,0.25,3965.5,0.115,7360.00,34.36,702.27,8096.63,True
evening,晚高峰,24,0.24,4137.9,0.110,7680.00,32.93,736.75,8449.68,True
evening,晚高峰,25,0.23,4310.3,0.105,8000.00,31.61,771.24,8802.85,True
evening,晚高峰,26,0.22,4482.8,0.101,8320.00,30.39,805.72,9156.11,True
evening,晚高峰,27,0.21,4655.2,0.098,8640.00,29.27,840.20,9509.47,True
evening,晚高峰,28,0.21,4827.6,0.094,8960.00,28.22,874.69,9862.91,True
evening,晚高峰,29,0.20,5000.0,0.091,9280.00,27.25,909.17,10216.42,True
evening,晚高峰,30,0.19,5172.4,0.088,9600.00,26.34,943.65,10569.99,True
