from,to,flow_pcu,capacity,V/C,travel_time_s,free_time_s
J_04,J_05,620.8,1200,0.517,3.6,3.6
J_05,C_T,620.8,600,1.035,1.1,0.9
T_25,J_47,605.3,600,1.009,1.0,0.9
J_41,J_40,605.3,1200,0.504,10.9,10.8
J_44,J_41,605.3,1200,0.504,20.0,19.8
J_45,J_46,605.3,1200,0.504,7.3,7.2
J_46,J_44,605.3,1200,0.504,30.9,30.6
J_47,J_45,605.3,1200,0.504,27.6,27.3
J_18,J_19,531.7,1200,0.443,16.3,16.2
T_16_W,J_01,525.7,600,0.876,1.0,0.9
T_16_E,J_15,491.8,600,0.82,1.0,0.9
J_03,J_04,485.8,1200,0.405,16.3,16.2
J_19,J_20,425.3,1200,0.354,14.4,14.4
J_40,J_30,424.7,1200,0.354,18.0,18.0
J_21,J_22,406.6,1200,0.339,27.0,27.0
J_22,C_S,406.6,600,0.678,0.9,0.9
J_23,C_X,330.9,600,0.552,0.9,0.9
J_01,J_03,290.3,1200,0.242,10.8,10.8
J_16,J_18,273.6,1200,0.228,9.0,9.0
J_26,J_49,266.7,1200,0.222,21.6,21.6
J_27,J_26,266.7,1200,0.222,14.4,14.4
J_30,J_27,266.7,1200,0.222,9.0,9.0
J_30,C_G,264.4,600,0.441,0.9,0.9
J_15,J_17,258.1,1200,0.215,7.2,7.2
J_17,J_18,258.1,1200,0.215,9.0,9.0
J_01,J_02,235.4,1200,0.196,14.4,14.4
J_02,J_16,235.4,1200,0.196,10.8,10.8
J_15,J_16,233.7,1200,0.195,7.2,7.2
J_20,J_21,226.1,1200,0.188,10.8,10.8
J_20,J_23,199.3,1200,0.166,12.6,12.6
J_02,J_03,195.6,1200,0.163,5.4,5.4
J_16,J_02,195.6,1200,0.163,10.8,10.8
J_24,J_21,180.6,1200,0.15,12.6,12.6
J_25,J_24,180.6,1200,0.15,27.0,27.0
J_28,J_25,180.6,1200,0.15,12.6,12.6
J_29,J_28,180.6,1200,0.15,9.0,9.0
J_39,J_29,180.6,1200,0.15,19.8,19.8
J_40,J_39,180.6,1200,0.15,14.4,14.4
J_19,J_04,135.0,1200,0.113,25.2,25.2
J_49,J_19,135.0,1200,0.113,14.4,14.4
J_49,J_23,131.7,1200,0.11,18.0,18.0
J_19,J_49,106.3,1200,0.089,14.4,14.4
J_26,J_27,106.3,1200,0.089,14.4,14.4
J_27,J_30,106.3,1200,0.089,9.0,9.0
J_49,J_26,106.3,1200,0.089,21.6,21.6
D_T,J_13,0.0,600,0.0,0.9,0.9
D_X,J_24,0.0,600,0.0,0.9,0.9
D_C,J_29,0.0,600,0.0,7.2,7.2
D_C,J_31,0.0,600,0.0,3.6,3.6
D_G,J_34,0.0,600,0.0,0.9,0.9
C_T,J_05,0.0,600,0.0,0.9,0.9
C_X,J_23,0.0,600,0.0,0.9,0.9
C_G,J_30,0.0,600,0.0,0.9,0.9
C_S,J_22,0.0,600,0.0,0.9,0.9
J_01,T_16_W,0.0,600,0.0,0.9,0.9
J_02,J_01,0.0,1200,0.0,14.4,14.4
J_03,J_01,0.0,1200,0.0,10.8,10.8
J_03,J_02,0.0,1200,0.0,5.4,5.4
J_04,J_03,0.0,1200,0.0,16.2,16.2
J_04,J_19,0.0,1200,0.0,25.2,25.2
J_05,J_04,0.0,1200,0.0,3.6,3.6
J_05,J_06,0.0,1200,0.0,16.2,16.2
J_05,J_07,0.0,1200,0.0,18.0,18.0
J_06,J_05,0.0,1200,0.0,16.2,16.2
J_06,J_09,0.0,600,0.0,12.6,12.6
J_06,J_10,0.0,1200,0.0,16.2,16.2
J_07,J_05,0.0,1200,0.0,18.0,18.0
J_07,J_08,0.0,1200,0.0,14.4,14.4
J_08,J_07,0.0,1200,0.0,14.4,14.4
J_08,J_09,0.0,600,0.0,7.2,7.2
J_08,J_12,0.0,600,0.0,13.5,13.5
J_09,J_08,0.0,600,0.0,7.2,7.2
J_09,J_06,0.0,600,0.0,12.6,12.6
J_09,J_11,0.0,600,0.0,12.6,12.6
J_10,J_06,0.0,1200,0.0,16.2,16.2
J_10,J_11,0.0,1200,0.0,10.8,10.8
J_10,J_13,0.0,600,0.0,12.6,12.6
J_11,J_10,0.0,1200,0.0,10.8,10.8
J_11,J_09,0.0,600,0.0,12.6,12.6
J_11,J_12,0.0,600,0.0,7.2,7.2
J_11,J_14,0.0,600,0.0,10.8,10.8
J_12,J_11,0.0,600,0.0,7.2,7.2
J_12,J_08,0.0,600,0.0,13.5,13.5
J_13,D_T,0.0,600,0.0,0.9,0.9
J_13,J_14,0.0,600,0.0,10.8,10.8
J_13,J_10,0.0,600,0.0,12.6,12.6
J_14,J_11,0.0,600,0.0,10.8,10.8
J_14,J_13,0.0,600,0.0,10.8,10.8
J_15,T_16_E,0.0,600,0.0,0.9,0.9
J_16,J_15,0.0,1200,0.0,7.2,7.2
J_17,J_15,0.0,1200,0.0,7.2,7.2
J_18,J_16,0.0,1200,0.0,9.0,9.0
J_18,J_17,0.0,1200,0.0,9.0,9.0
J_19,J_18,0.0,1200,0.0,16.2,16.2
J_20,J_19,0.0,1200,0.0,14.4,14.4
J_21,J_20,0.0,1200,0.0,10.8,10.8
J_21,J_24,0.0,1200,0.0,12.6,12.6
J_22,J_21,0.0,1200,0.0,27.0,27.0
J_23,J_20,0.0,1200,0.0,12.6,12.6
J_23,J_24,0.0,1200,0.0,9.0,9.0
J_23,J_49,0.0,1200,0.0,18.0,18.0
J_24,D_X,0.0,600,0.0,0.9,0.9
J_24,J_23,0.0,1200,0.0,9.0,9.0
J_24,J_25,0.0,1200,0.0,27.0,27.0
J_25,J_26,0.0,1200,0.0,19.8,19.8
J_25,J_28,0.0,1200,0.0,12.6,12.6
J_26,J_25,0.0,1200,0.0,19.8,19.8
J_27,J_28,0.0,1200,0.0,19.8,19.8
J_28,J_27,0.0,1200,0.0,19.8,19.8
J_28,J_29,0.0,1200,0.0,9.0,9.0
J_29,J_30,0.0,1200,0.0,16.2,16.2
J_29,D_C,0.0,600,0.0,7.2,7.2
J_29,J_39,0.0,1200,0.0,19.8,19.8
J_30,J_29,0.0,1200,0.0,16.2,16.2
J_30,J_40,0.0,1200,0.0,18.0,18.0
J_31,D_C,0.0,600,0.0,3.6,3.6
J_31,J_32,0.0,1200,0.0,16.2,16.2
J_32,J_31,0.0,1200,0.0,16.2,16.2
