period,source,target,rank,distance_m,time_s,generalized_cost,allocation_pct,flow_person,path
noon,T_16,TYST,1,160,38.4,15.392,44.7,109,T_16 → N15 → T_2 → N14 → TYST
noon,T_16,TYST,2,164,39.3,15.766,42.6,104,T_16 → N15 → N14 → TYST
noon,T_16,TYST,3,301,72.1,28.932,12.7,31,T_16 → N16 → N15 → T_2 → N14 → TYST
noon,T_16,XYST,1,165,39.6,15.923,63.1,186,T_16 → N16 → N30 → XYST
noon,T_16,XYST,2,305,73.2,29.405,18.5,55,T_16 → N16 → N30 → N12 → XYST
noon,T_16,XYST,3,306,73.3,29.463,18.4,54,T_16 → N15 → N16 → N30 → XYST
noon,T_16,GYST,1,265,63.6,25.542,39.4,54,T_16 → N16 → N30 → XYST → N28 → GYST
noon,T_16,GYST,2,265,63.6,25.542,39.4,54,T_16 → N16 → N30 → XYST → N29 → GYST
noon,T_16,GYST,3,361,86.5,34.768,21.2,29,T_16 → N16 → N30 → XYST → N28 → N29 → GYST
noon,T_16,TYGY,1,253,60.7,24.391,35.8,146,T_16 → N15 → T_2 → N14 → N4 → TYGY
noon,T_16,TYGY,2,257,61.6,24.766,34.8,142,T_16 → N15 → N14 → N4 → TYGY
noon,T_16,TYGY,3,280,67.1,26.933,29.4,120,T_16 → N15 → T_2 → N14 → T_4 → N4 → TYGY
noon,T_16,XYGY,1,265,63.6,25.542,45.2,99,T_16 → N16 → N30 → XYST → N12 → XYGY
noon,T_16,XYGY,2,305,73.2,29.405,34.1,75,T_16 → N16 → N30 → N12 → XYGY
noon,T_16,XYGY,3,391,93.8,37.713,20.7,45,T_16 → N16 → N30 → XYST → N12 → N13 → XYGY
noon,T_16,CYGY,1,265,63.6,25.542,48.4,45,T_16 → N16 → N30 → XYST → N28 → CYGY
noon,T_16,CYGY,2,361,86.5,34.768,26.1,25,T_16 → N16 → N30 → XYST → N29 → N28 → CYGY
noon,T_16,CYGY,3,365,87.6,35.160,25.5,24,T_16 → N16 → N30 → XYST → N29 → GYST → N28 → CYGY
noon,T_16,GYGY,1,610,146.2,58.705,33.4,52,T_16 → N16 → N30 → XYST → N28 → GYST → N31 → N33 → N61 → GYGY
noon,T_16,GYGY,2,610,146.2,58.705,33.4,52,T_16 → N16 → N30 → XYST → N29 → GYST → N31 → N33 → N61 → GYGY
noon,T_16,GYGY,3,610,146.2,58.752,33.3,52,T_16 → N16 → N30 → XYST → N28 → GYST → N31 → N33 → N60 → N61 → GYGY
noon,T_25,TYST,1,738,176.9,70.999,33.5,16,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → TYST
noon,T_25,TYST,2,738,176.9,70.999,33.5,16,T_25 → N48 → N49 → T_7 → N32 → GYST → N29 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → TYST
noon,T_25,TYST,3,741,177.8,71.374,33.1,15,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N30 → N16 → T_16 → N15 → N14 → TYST
noon,T_25,XYST,1,412,98.9,39.684,35.9,51,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST
noon,T_25,XYST,2,412,98.9,39.684,35.9,51,T_25 → N48 → N49 → T_7 → N32 → GYST → N29 → XYST
noon,T_25,XYST,3,465,111.5,44.781,28.2,40,T_25 → N39 → N40 → T_8 → N42 → T_7 → N32 → GYST → N28 → XYST
noon,T_25,GYST,1,312,74.9,30.066,40.6,82,T_25 → N48 → N49 → T_7 → N32 → GYST
noon,T_25,GYST,2,365,87.6,35.163,29.7,60,T_25 → N39 → N40 → T_8 → N42 → T_7 → N32 → GYST
noon,T_25,GYST,3,365,87.6,35.163,29.7,60,T_25 → N39 → N40 → T_8 → N49 → T_7 → N32 → GYST
noon,T_25,TYGY,1,831,199.2,79.998,33.4,73,T_25 → N48 → N49 → T_7 → N32 → GYST → N28 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → N4 → TYGY
noon,T_25,TYGY,2,831,199.2,79.998,33.4,73,T_25 → N48 → N49 → T_7 → N32 → GYST → N29 → XYST → N30 → N16 → T_16 → N15 → T_2 → N14 → N4 → TYGY
