u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N1,N2,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N1,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N3,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N5,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N3,N2,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N3,N4,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N3,TYGY,50.0,99.0,9999.0,154.55,554.78,198.14,39.63,0.0155,A
N3,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,N3,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N4,N5,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,N14,73.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N4,N7,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,TYGY,50.0,99.0,9999.0,1111.93,3114.18,1626.14,312.67,0.1112,A
N4,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,T_4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N5,N2,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N4,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N6,52.1,6.0,600.0,14.47,42.85,20.61,4.0,0.0241,A
N5,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N6,N5,52.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N6,N14,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N6,N26,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N6,N17,55.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N6,T_2,50.0,99.0,9999.0,14.47,42.85,20.61,4.0,0.0014,A
N7,N4,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N7,N8,78.1,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N7,TYGY,50.0,99.0,9999.0,142.68,158.02,262.52,48.13,0.0143,A
N8,N7,78.1,8.0,800.0,142.68,158.02,262.52,48.13,0.1784,A
N8,N9,83.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N9,N8,83.6,6.0,600.0,142.68,158.02,262.52,48.13,0.2378,A
N9,N10,39.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N10,N9,39.8,12.0,1200.0,142.68,158.02,262.52,48.13,0.1189,A
N10,N11,121.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N10,N14,231.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N11,N10,121.2,6.0,600.0,142.68,158.02,262.52,48.13,0.2378,A
N11,N12,109.8,8.0,800.0,114.02,326.24,162.98,32.5,0.1425,A
N11,N15,229.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N12,N11,109.8,8.0,800.0,142.68,158.02,262.52,48.13,0.1784,A
N12,N28,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N12,N13,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N12,N30,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N12,XYST,50.0,99.0,9999.0,20.77,45.28,33.15,6.29,0.0021,A
N12,XYGY,50.0,99.0,9999.0,808.23,1959.18,1250.54,237.15,0.0808,A
N13,N12,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N13,SYJ,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N13,XYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N14,N4,73.1,6.0,600.0,153.02,406.39,231.65,42.89,0.255,A
N14,N6,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,N10,231.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,N15,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,TYST,30.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N14,T_2,50.0,99.0,9999.0,16.56,49.59,23.48,4.56,0.0017,A
N14,T_4,50.0,99.0,9999.0,806.34,2160.13,1198.9,230.66,0.0806,A
N15,N11,229.4,8.0,800.0,114.02,326.24,162.98,32.5,0.1425,A
N15,N14,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N16,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N27,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N15,T_16,30.0,99.0,9999.0,97.23,202.16,159.16,29.26,0.0097,A
N15,T_2,50.0,99.0,9999.0,686.62,1670.28,1062.82,200.74,0.0687,A
N16,N15,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N16,N18,221.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N16,N30,85.2,8.0,800.0,374.93,1051.12,550.08,104.79,0.4687,B
N16,T_16,30.0,99.0,9999.0,421.2,716.65,722.24,132.86,0.0421,A
N16,T_5,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N17,N6,55.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N17,N23,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N17,N24,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N16,221.4,12.0,1200.0,6.23,7.8,10.75,2.23,0.0052,A
N18,N19,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N25,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N18,N45,278.2,8.0,800.0,9.76,11.25,17.68,3.33,0.0122,A
N18,N20,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N18,T_1,50.0,99.0,9999.0,34.5,41.0,62.28,11.71,0.0035,A
N19,N18,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N19,N20,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N19,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N18,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N20,N21,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N21,N20,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N21,N22,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N21,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N24,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N23,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N22,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N23,N17,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N23,N22,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N22,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N17,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N25,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N27,66.9,6.0,600.0,21.08,47.27,31.69,6.84,0.0351,A
N24,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N25,N18,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N25,N24,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N25,N26,34.8,8.0,800.0,195.48,475.54,303.87,56.76,0.2443,A
N25,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N26,N6,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N26,N25,34.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N26,N27,25.0,8.0,800.0,195.48,475.54,303.87,56.76,0.2443,A
N27,N15,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,N24,66.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N27,N26,25.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,T_2,50.0,99.0,9999.0,216.55,522.81,335.56,63.6,0.0217,A
N28,N12,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N29,95.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N31,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N28,N44,210.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N28,XYST,50.0,99.0,9999.0,402.41,530.71,759.27,121.55,0.0402,A
N28,GYST,50.0,99.0,9999.0,7.95,7.18,12.05,3.61,0.0008,A
N28,CYGY,50.0,99.0,9999.0,381.37,1204.93,526.27,103.0,0.0381,A
N29,N28,95.6,8.0,800.0,17.78,64.31,22.97,4.46,0.0222,A
N29,N30,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,N43,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N29,N44,115.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,XYST,50.0,99.0,9999.0,597.13,1086.17,971.46,197.08,0.0597,A
N29,GYST,50.0,99.0,9999.0,119.85,141.91,222.24,38.98,0.012,A
N30,N16,85.2,8.0,800.0,331.07,393.93,606.99,109.58,0.4138,B
N30,N29,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,N12,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N30,N63,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,XYST,50.0,99.0,9999.0,374.93,1051.12,550.08,104.79,0.0375,A
N31,N28,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N31,N32,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N31,N33,135.1,12.0,1200.0,158.77,202.02,286.74,52.54,0.1323,A
