u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N1,N2,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N1,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N3,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N5,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N3,N2,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N3,N4,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N3,TYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N3,T_3,50.0,99.0,9999.0,87.07,292.95,116.1,22.95,0.0087,A
N4,N3,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N4,N5,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,N14,73.1,6.0,600.0,152.74,311.22,250.38,46.51,0.2546,A
N4,N7,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,TYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,T_4,50.0,99.0,9999.0,894.85,2080.26,1403.12,265.88,0.0895,A
N5,N2,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N4,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N6,52.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N5,T_3,50.0,99.0,9999.0,74.52,189.0,113.4,21.6,0.0075,A
N6,N5,52.1,6.0,600.0,74.52,189.0,113.4,21.6,0.1242,A
N6,N14,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N6,N26,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N6,N17,55.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N6,T_2,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N7,N4,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N7,N8,78.1,8.0,800.0,168.63,188.37,312.1,56.16,0.2108,A
N7,TYGY,50.0,99.0,9999.0,18.63,47.25,28.35,5.4,0.0019,A
N8,N7,78.1,8.0,800.0,18.63,47.25,28.35,5.4,0.0233,A
N8,N9,83.6,6.0,600.0,168.63,188.37,312.1,56.16,0.281,A
N9,N8,83.6,6.0,600.0,18.63,47.25,28.35,5.4,0.031,A
N9,N10,39.8,12.0,1200.0,168.63,188.37,312.1,56.16,0.1405,A
N10,N9,39.8,12.0,1200.0,18.63,47.25,28.35,5.4,0.0155,A
N10,N11,121.2,6.0,600.0,168.63,188.37,312.1,56.16,0.281,A
N10,N14,231.6,12.0,1200.0,24.15,59.85,36.56,7.2,0.0201,A
N11,N10,121.2,6.0,600.0,42.78,107.1,64.91,12.6,0.0713,A
N11,N12,109.8,8.0,800.0,280.86,300.98,518.02,95.35,0.3511,B
N11,N15,229.4,8.0,800.0,248.12,706.39,353.25,71.5,0.3101,A
N12,N11,109.8,8.0,800.0,290.9,813.49,418.16,84.1,0.3636,B
N12,N28,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N12,N13,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N12,N30,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N12,XYST,50.0,99.0,9999.0,757.83,1396.87,1271.18,236.79,0.0758,A
N12,XYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N13,N12,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N13,SYJ,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N13,XYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N14,N4,73.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N14,N6,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,N10,231.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,N15,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,TYST,30.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N14,T_2,50.0,99.0,9999.0,980.01,2146.57,1566.88,295.29,0.098,A
N14,T_4,50.0,99.0,9999.0,93.15,236.25,141.75,27.0,0.0093,A
N15,N11,229.4,8.0,800.0,112.23,112.61,205.92,39.2,0.1403,A
N15,N14,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N16,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N27,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N15,T_16,30.0,99.0,9999.0,766.56,1834.88,1189.53,226.21,0.0767,A
N15,T_2,50.0,99.0,9999.0,314.95,692.37,504.63,94.32,0.0315,A
N16,N15,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N16,N18,221.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N16,N30,85.2,8.0,800.0,388.76,479.12,711.07,127.53,0.486,B
N16,T_16,30.0,99.0,9999.0,364.25,758.68,599.47,108.54,0.0364,A
N16,T_5,50.0,99.0,9999.0,161.59,481.95,229.5,44.55,0.0162,A
N17,N6,55.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N17,N23,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N17,N24,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N16,221.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N19,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N25,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N18,N45,278.2,8.0,800.0,67.48,79.85,122.27,22.82,0.0843,A
N18,N20,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N18,T_1,50.0,99.0,9999.0,43.22,51.03,78.46,14.58,0.0043,A
N19,N18,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N19,N20,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N19,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N18,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N20,N21,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N21,N20,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N21,N22,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N21,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N24,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N23,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N22,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N23,N17,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N23,N22,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N22,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N17,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N25,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N27,66.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,T_1,50.0,99.0,9999.0,18.9,38.9,29.54,6.14,0.0019,A
N25,N18,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N25,N24,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N25,N26,34.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N25,T_1,50.0,99.0,9999.0,195.31,377.37,324.76,60.14,0.0195,A
N26,N6,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N26,N25,34.8,8.0,800.0,195.31,377.37,324.76,60.14,0.2441,A
N26,N27,25.0,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,N15,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,N24,66.9,6.0,600.0,18.9,38.9,29.54,6.14,0.0315,A
N27,N26,25.0,8.0,800.0,195.31,377.37,324.76,60.14,0.2441,A
N27,T_2,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N28,N12,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N29,95.6,8.0,800.0,11.75,39.22,15.73,3.1,0.0147,A
N28,N31,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N28,N44,210.5,6.0,600.0,13.37,28.35,21.6,4.05,0.0223,A
N28,XYST,50.0,99.0,9999.0,250.77,598.66,393.21,72.95,0.0251,A
N28,GYST,50.0,99.0,9999.0,563.34,1221.26,889.24,174.44,0.0563,A
N28,CYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N29,N28,95.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N29,N30,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,N43,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N29,N44,115.0,6.0,600.0,160.83,301.93,269.39,49.82,0.268,A
N29,XYST,50.0,99.0,9999.0,173.8,164.59,324.23,60.08,0.0174,A
N29,GYST,50.0,99.0,9999.0,472.24,356.9,925.15,159.01,0.0472,A
N30,N16,85.2,8.0,800.0,439.43,930.98,718.38,130.81,0.5493,B
N30,N29,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,N12,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N30,N63,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,XYST,50.0,99.0,9999.0,388.76,479.12,711.07,127.53,0.0389,A
N31,N28,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N31,N32,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N31,N33,135.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
