u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N1,N2,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N1,81.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N3,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,N5,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N2,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N3,N2,53.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N3,N4,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N3,TYGY,50.0,99.0,9999.0,97.63,247.74,148.55,28.3,0.0098,A
N3,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,N3,82.8,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N4,N5,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,N14,73.1,6.0,600.0,29.7,106.61,38.07,7.61,0.0495,A
N4,N7,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N4,TYGY,50.0,99.0,9999.0,541.13,1260.29,850.62,159.92,0.0541,A
N4,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N4,T_4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N5,N2,114.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N4,143.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N5,N6,52.1,6.0,600.0,90.17,176.14,149.18,27.81,0.1503,A
N5,T_3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N6,N5,52.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N6,N14,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N6,N26,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N6,N17,55.0,12.0,1200.0,10.94,25.2,17.22,3.25,0.0091,A
N6,T_2,50.0,99.0,9999.0,79.24,150.94,131.96,24.55,0.0079,A
N7,N4,354.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N7,N8,78.1,8.0,800.0,58.39,106.88,98.24,18.23,0.073,A
N7,TYGY,50.0,99.0,9999.0,45.35,54.46,81.13,15.56,0.0045,A
N8,N7,78.1,8.0,800.0,45.35,54.46,81.13,15.56,0.0567,A
N8,N9,83.6,6.0,600.0,58.39,106.88,98.24,18.23,0.0973,A
N9,N8,83.6,6.0,600.0,45.35,54.46,81.13,15.56,0.0756,A
N9,N10,39.8,12.0,1200.0,58.39,106.88,98.24,18.23,0.0487,A
N10,N9,39.8,12.0,1200.0,45.35,54.46,81.13,15.56,0.0378,A
N10,N11,121.2,6.0,600.0,130.11,284.39,208.79,39.04,0.2169,A
N10,N14,231.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N11,N10,121.2,6.0,600.0,45.35,54.46,81.13,15.56,0.0756,A
N11,N12,109.8,8.0,800.0,413.94,1058.49,621.4,121.68,0.5174,B
N11,N15,229.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N12,N11,109.8,8.0,800.0,45.35,54.46,81.13,15.56,0.0567,A
N12,N28,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N12,N13,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N12,N30,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N12,XYST,50.0,99.0,9999.0,61.85,143.31,96.52,18.57,0.0062,A
N12,XYGY,50.0,99.0,9999.0,1591.08,3353.29,2576.38,482.83,0.1591,A
N13,N12,126.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N13,SYJ,50.0,99.0,9999.0,1273.02,2506.6,2101.49,391.91,0.1273,A
N13,XYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N14,N4,73.1,6.0,600.0,152.15,325.58,247.24,45.42,0.2536,A
N14,N6,183.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,N10,231.6,12.0,1200.0,71.72,177.51,110.55,20.8,0.0598,A
N14,N15,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N14,TYST,30.0,99.0,9999.0,229.95,718.5,319.15,62.36,0.023,A
N14,T_2,50.0,99.0,9999.0,69.92,145.84,113.83,21.19,0.007,A
N14,T_4,50.0,99.0,9999.0,342.84,769.07,544.23,102.66,0.0343,A
N15,N11,229.4,8.0,800.0,283.83,774.1,412.61,82.64,0.3548,B
N15,N14,103.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N16,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N15,N27,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N15,T_16,30.0,99.0,9999.0,160.42,323.77,266.89,47.98,0.016,A
N15,T_2,50.0,99.0,9999.0,500.51,1054.83,812.64,151.23,0.0501,A
N16,N15,140.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N16,N18,221.4,12.0,1200.0,74.36,211.39,111.46,19.78,0.062,A
N16,N30,85.2,8.0,800.0,506.15,1440.62,739.27,140.31,0.6327,C
N16,T_16,30.0,99.0,9999.0,365.83,571.93,638.64,117.04,0.0366,A
N16,T_5,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N17,N6,55.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N17,N23,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N17,N24,89.1,12.0,1200.0,10.94,25.2,17.22,3.25,0.0091,A
N18,N16,221.4,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N19,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N18,N25,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N18,N45,278.2,8.0,800.0,207.52,426.67,340.28,62.77,0.2594,A
N18,N20,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N18,T_1,50.0,99.0,9999.0,19.42,22.36,35.13,6.64,0.0019,A
N19,N18,207.8,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N19,N20,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N19,77.7,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,N18,130.2,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N20,N21,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N20,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N21,N20,186.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N21,N22,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N21,46.6,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N24,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N22,N23,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N22,T_1,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N23,N17,97.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N23,N22,93.6,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N22,100.9,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N17,89.1,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N24,N25,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,N27,66.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N24,T_1,50.0,99.0,9999.0,10.94,25.2,17.22,3.25,0.0011,A
N25,N18,196.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N25,N24,23.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N25,N26,34.8,8.0,800.0,167.27,338.42,274.23,51.16,0.2091,A
N25,T_1,50.0,99.0,9999.0,26.54,62.46,40.5,8.14,0.0027,A
N26,N6,113.3,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N26,N25,34.8,8.0,800.0,26.54,62.46,40.5,8.14,0.0332,A
N26,N27,25.0,8.0,800.0,167.27,338.42,274.23,51.16,0.2091,A
N27,N15,184.4,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N27,N24,66.9,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N27,N26,25.0,8.0,800.0,26.54,62.46,40.5,8.14,0.0332,A
N27,T_2,50.0,99.0,9999.0,167.27,338.42,274.23,51.16,0.0167,A
N28,N12,291.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N29,95.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N28,N31,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N28,N44,210.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N28,XYST,50.0,99.0,9999.0,707.86,979.34,1177.22,256.76,0.0708,A
N28,GYST,50.0,99.0,9999.0,127.51,238.45,210.75,40.44,0.0128,A
N28,CYGY,50.0,99.0,9999.0,125.62,398.5,172.98,33.87,0.0126,A
N29,N28,95.6,8.0,800.0,4.66,13.83,6.64,1.29,0.0058,A
N29,N30,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,N43,212.5,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N29,N44,115.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N29,XYST,50.0,99.0,9999.0,755.55,1496.54,1334.16,205.64,0.0756,A
N29,GYST,50.0,99.0,9999.0,145.89,248.74,252.22,45.35,0.0146,A
N30,N16,85.2,8.0,800.0,305.64,355.33,562.82,101.27,0.3821,B
N30,N29,279.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,N12,140.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N30,N63,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N30,XYST,50.0,99.0,9999.0,506.15,1440.62,739.27,140.31,0.0506,A
N31,N28,283.2,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,A
N31,N32,71.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N31,N33,135.1,12.0,1200.0,191.71,223.66,351.46,63.9,0.1598,A
