period,source,target,mode,route,flow_persons
早高峰,TYGY,T_16,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16,98.28
早高峰,XYGY,T_16,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16,178.61
早高峰,TYGY,T_25,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,6.44
早高峰,TYGY,T_16,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16,35.1
早高峰,TYGY,T_25,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,4.09
早高峰,TYGY,T_1,p,TYGY -> N4 -> N14 -> T_2 -> N27 -> N26 -> N25 -> T_1,32.76
早高峰,TYGY,T_2,p,TYGY -> N4 -> N14 -> T_2,32.76
早高峰,TYGY,T_3,p,TYGY -> N3 -> T_3,245.7
早高峰,TYGY,T_4,p,TYGY -> N4 -> T_4,245.7
早高峰,TYGY,T_5,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> T_5,32.76
早高峰,GYGY,T_16,b,GYGY -> N61 -> N33 -> N31 -> GYST -> N28 -> XYST -> N30 -> N16 -> T_16,3.71
早高峰,XYGY,T_25,b,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,3.47
早高峰,TYGY,T_6,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> N44 -> T_6,25.74
早高峰,TYGY,T_7,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7,25.74
早高峰,TYGY,T_8,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N42 -> T_8,25.74
早高峰,TYGY,T_9,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9,25.74
早高峰,TYGY,T_10,b,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_9 -> N38 -> T_10,25.74
早高峰,CYGY,T_16,p,CYGY -> N28 -> XYST -> N30 -> N16 -> T_16,121.9
早高峰,GYGY,T_25,b,GYGY -> N61 -> N33 -> N46 -> T_7 -> N49 -> N48 -> T_25,42.08
早高峰,GYGY,T_16,p,GYGY -> N61 -> N33 -> N31 -> GYST -> N29 -> XYST -> N30 -> N16 -> T_16,2.36
早高峰,XYGY,T_16,b,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16,63.79
早高峰,XYGY,T_25,p,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7 -> N49 -> N48 -> T_25,57.33
早高峰,XYGY,T_2,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2,50.71
早高峰,XYGY,T_3,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N6 -> N5 -> T_3,50.71
早高峰,XYGY,T_4,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_16 -> N15 -> T_2 -> N14 -> T_4,50.71
早高峰,XYGY,T_5,p,XYGY -> N12 -> XYST -> N30 -> N16 -> T_5,68.35
早高峰,XYGY,T_6,p,XYGY -> N12 -> XYST -> N29 -> N44 -> T_6,132.3
早高峰,XYGY,T_7,p,XYGY -> N12 -> XYST -> N28 -> GYST -> N32 -> T_7,132.3
早高峰,XYGY,T_8,p,XYGY -> N12 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N42 -> T_8,52.92
早高峰,TYGY,T_6,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> N44 -> T_6,16.38
早高峰,TYGY,T_7,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N28 -> GYST -> N32 -> T_7,16.38
早高峰,TYGY,T_8,p,TYGY -> N4 -> N14 -> T_2 -> N15 -> T_16 -> N16 -> N30 -> XYST -> N29 -> GYST -> N32 -> T_7 -> N42 -> T_8,2.05
