u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N1,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N1,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N3,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N5,12.0,1200.0,0.0,0.0,0.0,0.0
N2,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N3,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N3,N4,6.0,600.0,0.0,0.0,0.0,0.0
N3,TYGY,99.0,9999.0,0.0155,0.0155,-0.0,0.28
N3,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N4,N3,6.0,600.0,0.0,0.0,0.0,0.0
N4,N5,12.0,1200.0,0.0,0.0,0.0,0.0
N4,N14,6.0,600.0,0.0,0.0,0.0,0.0
N4,N7,12.0,1200.0,0.0,0.0,0.0,0.0
N4,TYGY,99.0,9999.0,0.1255,0.1112,-0.0143,11.39
N4,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N4,T_4,99.0,9999.0,0.0,0.0,0.0,0.0
N5,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N5,N4,12.0,1200.0,0.0,0.0,0.0,0.0
N5,N6,6.0,600.0,0.0241,0.0241,0.0,-0.04
N5,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N6,N5,6.0,600.0,0.0,0.0,0.0,0.0
N6,N14,12.0,1200.0,0.0,0.0,0.0,0.0
N6,N26,6.0,600.0,0.0,0.0,0.0,0.0
N6,N17,12.0,1200.0,0.0,0.0,0.0,0.0
N6,T_2,99.0,9999.0,0.0014,0.0014,0.0,-3.33
N7,N4,12.0,1200.0,0.0,0.0,0.0,0.0
N7,N8,8.0,800.0,0.0,0.0,0.0,0.0
N7,TYGY,99.0,9999.0,0.0,0.0143,0.0143,0.0
N8,N7,8.0,800.0,0.0,0.1784,0.1784,0.0
N8,N9,6.0,600.0,0.0,0.0,0.0,0.0
N9,N8,6.0,600.0,0.0,0.2378,0.2378,0.0
N9,N10,12.0,1200.0,0.0,0.0,0.0,0.0
N10,N9,12.0,1200.0,0.0,0.1189,0.1189,0.0
N10,N11,6.0,600.0,0.0,0.0,0.0,0.0
N10,N14,12.0,1200.0,0.0,0.0,0.0,0.0
N11,N10,6.0,600.0,0.0,0.2378,0.2378,0.0
N11,N12,8.0,800.0,0.0,0.1425,0.1425,0.0
N11,N15,8.0,800.0,0.0,0.0,0.0,0.0
N12,N11,8.0,800.0,0.0,0.1784,0.1784,0.0
N12,N28,8.0,800.0,0.0,0.0,0.0,0.0
N12,N13,6.0,600.0,0.0,0.0,0.0,0.0
N12,N30,12.0,1200.0,0.0,0.0,0.0,0.0
N12,XYST,99.0,9999.0,0.0,0.0021,0.0021,0.0
