u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N1,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N1,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N3,12.0,1200.0,0.0,0.0,0.0,0.0
N2,N5,12.0,1200.0,0.0,0.0,0.0,0.0
N2,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N3,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N3,N4,6.0,600.0,0.0,0.0,0.0,0.0
N3,TYGY,99.0,9999.0,0.0039,0.0098,0.0059,-150.37
N3,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N4,N3,6.0,600.0,0.0,0.0,0.0,0.0
N4,N5,12.0,1200.0,0.0,0.0,0.0,0.0
N4,N14,6.0,600.0,0.0495,0.0495,-0.0,0.01
N4,N7,12.0,1200.0,0.0,0.0,0.0,0.0
N4,TYGY,99.0,9999.0,0.0587,0.0541,-0.0046,7.8
N4,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N4,T_4,99.0,9999.0,0.0,0.0,0.0,0.0
N5,N2,12.0,1200.0,0.0,0.0,0.0,0.0
N5,N4,12.0,1200.0,0.0,0.0,0.0,0.0
N5,N6,6.0,600.0,0.2476,0.1503,-0.0973,39.3
N5,T_3,99.0,9999.0,0.0,0.0,0.0,0.0
N6,N5,6.0,600.0,0.0,0.0,0.0,0.0
N6,N14,12.0,1200.0,0.0,0.0,0.0,0.0
N6,N26,6.0,600.0,0.0,0.0,0.0,0.0
N6,N17,12.0,1200.0,0.0,0.0091,0.0091,0.0
N6,T_2,99.0,9999.0,0.0149,0.0079,-0.007,46.82
N7,N4,12.0,1200.0,0.0,0.0,0.0,0.0
N7,N8,8.0,800.0,0.0,0.073,0.073,0.0
N7,TYGY,99.0,9999.0,0.0,0.0045,0.0045,0.0
N8,N7,8.0,800.0,0.0,0.0567,0.0567,0.0
N8,N9,6.0,600.0,0.0,0.0973,0.0973,0.0
N9,N8,6.0,600.0,0.0,0.0756,0.0756,0.0
N9,N10,12.0,1200.0,0.0,0.0487,0.0487,0.0
N10,N9,12.0,1200.0,0.0,0.0378,0.0378,0.0
N10,N11,6.0,600.0,0.0,0.2169,0.2169,0.0
N10,N14,12.0,1200.0,0.0,0.0,0.0,0.0
N11,N10,6.0,600.0,0.0,0.0756,0.0756,0.0
N11,N12,8.0,800.0,0.0,0.5174,0.5174,0.0
N11,N15,8.0,800.0,0.0,0.0,0.0,0.0
N12,N11,8.0,800.0,0.0,0.0567,0.0567,0.0
N12,N28,8.0,800.0,0.0,0.0,0.0,0.0
N12,N13,6.0,600.0,0.0,0.0,0.0,0.0
N12,N30,12.0,1200.0,0.0,0.0,0.0,0.0
N12,XYST,99.0,9999.0,0.0,0.0062,0.0062,0.0
