from,to,flow_pcu,capacity,V/C,travel_time_s,free_time_s
D_C,J_29,1161.9,600,1.936,22.4,7.2
J_19,J_18,1148.8,1200,0.957,18.2,16.2
J_15,T_16_E,1015.6,600,1.693,2.0,0.9
J_26,J_49,1004.6,1200,0.837,23.2,21.6
J_49,J_19,1004.6,1200,0.837,15.4,14.4
J_29,J_30,908.5,1200,0.757,17.0,16.2
J_27,J_26,882.1,1200,0.735,15.0,14.4
J_30,J_27,882.1,1200,0.735,9.4,9.0
J_01,T_16_W,859.7,600,1.433,1.5,0.9
D_G,J_34,773.1,600,1.288,1.3,0.9
J_04,J_03,726.6,1200,0.605,16.5,16.2
J_18,J_16,592.8,1200,0.494,9.1,9.0
D_X,J_24,560.5,600,0.934,1.0,0.9
J_47,T_25,557.3,600,0.929,1.0,0.9
J_17,J_15,556.0,1200,0.463,7.2,7.2
J_18,J_17,556.0,1200,0.463,9.1,9.0
J_31,D_C,513.9,600,0.856,3.9,3.6
J_32,J_31,513.9,1200,0.428,16.3,16.2
J_33,J_32,513.9,1200,0.428,12.7,12.6
J_34,J_33,513.9,1200,0.428,14.5,14.4
J_03,J_01,503.2,1200,0.419,10.8,10.8
J_20,J_19,465.3,1200,0.388,14.4,14.4
J_23,J_20,465.3,1200,0.388,12.6,12.6
J_24,J_23,465.3,1200,0.388,9.0,9.0
J_16,J_15,459.7,1200,0.383,7.2,7.2
D_T,J_13,451.1,600,0.752,0.9,0.9
J_05,J_04,451.1,1200,0.376,3.6,3.6
J_06,J_05,451.1,1200,0.376,16.2,16.2
J_10,J_06,451.1,1200,0.376,16.2,16.2
J_13,J_10,451.1,600,0.752,13.2,12.6
J_02,J_01,356.5,1200,0.297,14.4,14.4
J_16,J_02,356.5,1200,0.297,10.8,10.8
J_19,J_04,321.1,1200,0.268,25.2,25.2
J_40,J_41,298.1,1200,0.248,10.8,10.8
J_41,J_44,298.1,1200,0.248,19.8,19.8
J_44,J_46,298.1,1200,0.248,30.6,30.6
J_45,J_47,298.1,1200,0.248,27.4,27.3
J_46,J_45,298.1,1200,0.248,7.2,7.2
J_34,J_35,259.2,1200,0.216,18.0,18.0
J_35,J_36,259.2,1200,0.216,10.8,10.8
J_36,J_37,259.2,1200,0.216,5.4,5.4
J_37,J_38,259.2,1200,0.216,39.6,39.6
J_38,J_48,259.2,1200,0.216,36.0,36.0
