edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
0,T_16_E,J_15,5,6.0,600.0,515.9,407.8,76.3,250.2,0.4170,B,189126.5
1,T_16_W,J_01,5,6.0,600.0,575.0,354.6,70.4,234.3,0.3905,B,182656.6
2,T_25,J_47,5,6.0,600.0,210.6,451.4,88.0,244.5,0.4075,B,107096.1
3,D_T,J_13,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
4,D_X,J_24,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
5,D_C,J_29,40,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
6,D_C,J_31,20,5.0,600.0,60.2,150.1,30.0,81.0,0.1351,A,10831.7
7,D_G,J_34,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
8,C_T,J_05,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
9,C_X,J_23,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
10,C_G,J_30,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
11,C_S,J_22,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
12,J_01,T_16_W,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
13,J_01,J_02,80,8.0,1200.0,349.3,274.0,54.3,171.4,0.1429,A,88221.2
14,J_01,J_03,60,8.0,1200.0,225.6,80.6,16.1,62.9,0.0524,A,15585.7
15,J_02,J_01,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
16,J_02,J_03,30,8.0,1200.0,77.9,122.5,22.3,66.8,0.0557,A,9556.1
17,J_02,J_16,60,8.0,1200.0,349.3,274.0,54.3,171.4,0.1429,A,88221.2
18,J_03,J_01,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
19,J_03,J_02,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
20,J_03,J_04,90,8.0,1200.0,303.6,203.0,38.4,129.7,0.1080,A,54532.9
21,J_04,J_03,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
22,J_04,J_05,20,8.0,1200.0,315.1,256.9,49.9,158.5,0.1321,A,74328.6
23,J_04,J_19,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
24,J_05,C_T,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
25,J_05,J_04,20,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
26,J_05,J_06,90,8.0,1200.0,315.1,256.9,49.9,158.5,0.1321,A,74328.6
27,J_05,J_07,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
28,J_06,J_05,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
29,J_06,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
30,J_06,J_10,90,8.0,1200.0,315.1,256.9,49.9,158.5,0.1321,A,74328.6
31,J_07,J_05,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
32,J_07,J_08,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
33,J_08,J_07,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
34,J_08,J_09,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
35,J_08,J_12,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
36,J_09,J_08,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
37,J_09,J_06,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
38,J_09,J_11,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
39,J_10,J_06,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
40,J_10,J_11,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
41,J_10,J_13,70,5.0,600.0,315.1,256.9,49.9,158.5,0.2642,A,74328.6
42,J_11,J_10,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
43,J_11,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
44,J_11,J_12,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
45,J_11,J_14,60,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
46,J_12,J_11,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
47,J_12,J_08,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
48,J_13,D_T,5,4.0,600.0,315.1,256.9,49.9,158.5,0.2642,A,74328.6
49,J_13,J_14,60,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
50,J_13,J_10,70,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
51,J_14,J_11,60,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
52,J_14,J_13,60,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
53,J_15,T_16_E,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
54,J_15,J_16,40,8.0,1200.0,121.6,150.9,27.7,85.1,0.0709,A,17564.4
55,J_15,J_17,40,8.0,1200.0,394.3,256.9,48.6,165.1,0.1376,A,89398.6
56,J_16,J_15,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
57,J_16,J_18,50,8.0,1200.0,393.0,302.5,59.7,189.7,0.1581,A,109082.1
58,J_16,J_02,60,8.0,1200.0,77.9,122.5,22.3,66.8,0.0557,A,9556.1
59,J_17,J_15,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
60,J_17,J_18,50,8.0,1200.0,394.3,256.9,48.6,165.1,0.1376,A,89398.6
61,J_18,J_16,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
62,J_18,J_17,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
63,J_18,J_19,90,8.0,1200.0,787.3,559.3,108.3,354.9,0.2957,A,396607.5
64,J_19,J_18,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
65,J_19,J_20,80,8.0,1200.0,603.9,215.7,43.1,168.2,0.1402,A,111640.1
66,J_19,J_49,80,8.0,1200.0,183.4,343.7,65.2,186.6,0.1555,A,67381.4
67,J_19,J_04,140,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
68,J_20,J_19,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
69,J_20,J_21,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
70,J_20,J_23,70,8.0,1200.0,603.9,215.7,43.1,168.2,0.1402,A,111640.1
71,J_21,J_20,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
72,J_21,J_22,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
73,J_21,J_24,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
74,J_22,C_S,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
75,J_22,J_21,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
76,J_23,C_X,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
77,J_23,J_20,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
78,J_23,J_24,50,8.0,1200.0,603.9,215.7,43.1,168.2,0.1402,A,111640.1
79,J_23,J_49,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
80,J_24,D_X,5,4.0,600.0,631.3,343.6,70.5,236.8,0.3946,B,194646.1
81,J_24,J_21,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
82,J_24,J_23,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
83,J_24,J_25,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
84,J_25,J_24,150,8.0,1200.0,27.4,127.9,27.4,68.5,0.0571,A,5684.4
85,J_25,J_26,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
86,J_25,J_28,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
87,J_26,J_49,120,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
88,J_26,J_25,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
89,J_26,J_27,80,8.0,1200.0,183.4,343.7,65.2,186.6,0.1555,A,67381.4
90,J_27,J_28,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
91,J_27,J_26,80,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
92,J_27,J_30,50,8.0,1200.0,183.4,343.7,65.2,186.6,0.1555,A,67381.4
93,J_28,J_25,70,8.0,1200.0,27.4,127.9,27.4,68.5,0.0571,A,5684.4
94,J_28,J_27,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
95,J_28,J_29,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
96,J_29,J_28,50,8.0,1200.0,27.4,127.9,27.4,68.5,0.0571,A,5684.4
97,J_29,J_30,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
98,J_29,D_C,40,5.0,600.0,261.6,466.4,87.5,253.6,0.4227,B,127996.3
99,J_29,J_39,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
100,J_30,C_G,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
101,J_30,J_27,50,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
102,J_30,J_29,90,8.0,1200.0,183.4,343.7,65.2,186.6,0.1555,A,67381.4
103,J_30,J_40,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
104,J_31,D_C,20,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
105,J_31,J_32,90,8.0,1200.0,60.2,150.1,30.0,81.0,0.0675,A,10831.7
106,J_32,J_31,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
107,J_32,J_33,70,8.0,1200.0,60.2,150.1,30.0,81.0,0.0675,A,10831.7
108,J_33,J_32,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
109,J_33,J_34,80,8.0,1200.0,60.2,150.1,30.0,81.0,0.0675,A,10831.7
110,J_34,D_G,5,4.0,600.0,153.7,297.0,56.7,161.2,0.2686,A,49380.2
111,J_34,J_33,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
112,J_34,J_35,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
113,J_35,J_34,100,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
114,J_35,J_36,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
115,J_36,J_35,60,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
116,J_36,J_37,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
117,J_37,J_36,30,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
118,J_37,J_38,220,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
119,J_37,J_42,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
120,J_38,J_37,220,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
121,J_38,J_43,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
122,J_38,J_48,200,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
123,J_39,J_29,110,8.0,1200.0,105.5,250.7,49.7,135.5,0.1129,A,31075.3
124,J_39,J_40,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
125,J_39,J_42,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
126,J_40,J_30,100,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
127,J_40,J_39,80,8.0,1200.0,105.5,250.7,49.7,135.5,0.1129,A,31075.3
128,J_40,J_41,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
129,J_41,J_40,60,8.0,1200.0,117.1,304.5,61.3,164.3,0.1369,A,43512.5
130,J_41,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
131,J_41,J_44,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
132,J_42,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
133,J_42,J_39,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
134,J_42,J_37,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
135,J_43,J_41,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
136,J_43,J_42,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
137,J_43,J_38,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
138,J_44,J_41,110,8.0,1200.0,117.1,304.5,61.3,164.3,0.1369,A,43512.5
139,J_44,J_46,170,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
140,J_45,J_46,40,8.0,1200.0,117.1,304.5,61.3,164.3,0.1369,A,43512.5
141,J_45,J_47,152,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
142,J_46,J_44,170,8.0,1200.0,117.1,304.5,61.3,164.3,0.1369,A,43512.5
143,J_46,J_45,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
144,J_47,T_25,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
145,J_47,J_45,152,8.0,1200.0,117.1,304.5,61.3,164.3,0.1369,A,43512.5
146,J_47,J_48,110,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
147,J_48,J_38,200,8.0,1200.0,93.5,146.9,26.7,80.1,0.0668,A,13754.3
148,J_48,J_47,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
149,J_49,J_19,80,8.0,1200.0,11.5,53.8,11.5,28.8,0.0240,A,1007.2
150,J_49,J_26,120,8.0,1200.0,183.4,343.7,65.2,186.6,0.1555,A,67381.4
151,J_49,J_23,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
