edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
0,T_16_E,J_15,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
1,T_16_W,J_01,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
2,T_25,J_47,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
3,D_T,J_13,5,4.0,600.0,699.4,546.1,104.5,338.3,0.5638,C,346300.4
4,D_X,J_24,5,4.0,600.0,1281.2,580.8,118.1,420.4,0.7007,C,653758.4
5,D_C,J_29,40,5.0,600.0,864.0,1604.2,303.7,871.4,1.4523,F,1476406.1
6,D_C,J_31,20,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
7,D_G,J_34,5,4.0,600.0,523.8,1069.6,206.5,579.8,0.9664,E,619176.7
8,C_T,J_05,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
9,C_X,J_23,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
10,C_G,J_30,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
11,C_S,J_22,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
12,J_01,T_16_W,5,6.0,600.0,1281.6,1033.6,206.6,644.8,1.0747,F,1230222.3
13,J_01,J_02,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
14,J_01,J_03,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
15,J_02,J_01,80,8.0,1200.0,765.5,830.5,165.9,491.6,0.4097,B,618671.3
16,J_02,J_03,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
17,J_02,J_16,60,8.0,1200.0,195.5,307.2,55.9,167.6,0.1396,A,60128.3
18,J_03,J_01,60,8.0,1200.0,516.1,203.1,40.6,153.2,0.1276,A,90457.4
19,J_03,J_02,30,8.0,1200.0,195.5,307.2,55.9,167.6,0.1396,A,60128.3
20,J_03,J_04,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
21,J_04,J_03,90,8.0,1200.0,711.6,510.3,96.5,320.7,0.2673,A,323909.6
22,J_04,J_05,20,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
23,J_04,J_19,140,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
24,J_05,C_T,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
25,J_05,J_04,20,8.0,1200.0,699.4,546.1,104.5,338.3,0.2819,A,346300.4
26,J_05,J_06,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
27,J_05,J_07,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
28,J_06,J_05,90,8.0,1200.0,699.4,546.1,104.5,338.3,0.2819,A,346300.4
29,J_06,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
30,J_06,J_10,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
31,J_07,J_05,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
32,J_07,J_08,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
33,J_08,J_07,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
34,J_08,J_09,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
35,J_08,J_12,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
36,J_09,J_08,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
37,J_09,J_06,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
38,J_09,J_11,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
39,J_10,J_06,90,8.0,1200.0,699.4,546.1,104.5,338.3,0.2819,A,346300.4
40,J_10,J_11,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
41,J_10,J_13,70,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
42,J_11,J_10,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
43,J_11,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
44,J_11,J_12,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
45,J_11,J_14,60,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
46,J_12,J_11,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
47,J_12,J_08,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
48,J_13,D_T,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
49,J_13,J_14,60,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
50,J_13,J_10,70,5.0,600.0,699.4,546.1,104.5,338.3,0.5638,C,346300.4
51,J_14,J_11,60,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
52,J_14,J_13,60,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
53,J_15,T_16_E,5,6.0,600.0,1383.1,1284.0,238.2,761.7,1.2696,F,1626904.1
54,J_15,J_16,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
55,J_15,J_17,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
56,J_16,J_15,40,8.0,1200.0,375.2,455.0,83.5,257.5,0.2146,A,162724.3
57,J_16,J_18,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
58,J_16,J_02,60,8.0,1200.0,765.5,830.5,165.9,491.6,0.4097,B,618671.3
59,J_17,J_15,40,8.0,1200.0,1007.9,829.0,154.8,504.2,0.4202,B,754375.2
60,J_17,J_18,50,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
61,J_18,J_16,50,8.0,1200.0,945.3,978.3,193.5,581.6,0.4846,B,888297.1
62,J_18,J_17,50,8.0,1200.0,1007.9,829.0,154.8,504.2,0.4202,B,754375.2
63,J_18,J_19,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
64,J_19,J_18,90,8.0,1200.0,1953.2,1807.3,348.3,1085.8,0.9048,E,3289029.6
65,J_19,J_20,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
66,J_19,J_49,80,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
67,J_19,J_04,140,8.0,1200.0,25.8,28.0,5.6,16.6,0.0138,A,705.5
68,J_20,J_19,80,8.0,1200.0,1252.6,447.4,89.5,348.9,0.2908,A,480308.5
69,J_20,J_21,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
70,J_20,J_23,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
71,J_21,J_20,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
72,J_21,J_22,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
73,J_21,J_24,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
74,J_22,C_S,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
75,J_22,J_21,150,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
76,J_23,C_X,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
