edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
0,T_16_E,J_15,5,6.0,600.0,1339.3,552.0,108.7,408.2,0.6803,C,635973.1
1,T_16_W,J_01,5,6.0,600.0,1245.6,632.4,122.1,436.3,0.7272,C,683630.3
2,T_25,J_47,5,6.0,600.0,385.3,929.8,184.9,502.4,0.8373,D,423550.8
3,D_T,J_13,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
4,D_X,J_24,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
5,D_C,J_29,40,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
6,D_C,J_31,20,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
7,D_G,J_34,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
8,C_T,J_05,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
9,C_X,J_23,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
10,C_G,J_30,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
11,C_S,J_22,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
12,J_01,T_16_W,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
13,J_01,J_02,80,8.0,1200.0,380.7,323.5,60.3,195.4,0.1628,A,111605.6
14,J_01,J_03,60,8.0,1200.0,864.9,308.9,61.8,240.9,0.2008,A,228974.8
15,J_02,J_01,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
16,J_02,J_03,30,8.0,1200.0,582.7,208.1,41.6,162.3,0.1353,A,103934.9
17,J_02,J_16,60,8.0,1200.0,380.7,323.5,60.3,195.4,0.1628,A,111605.6
18,J_03,J_01,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
19,J_03,J_02,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
20,J_03,J_04,90,8.0,1200.0,1447.5,517.0,103.4,403.2,0.3360,A,641444.8
21,J_04,J_03,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
22,J_04,J_05,20,8.0,1200.0,1492.4,726.2,148.2,515.3,0.4294,B,959746.4
23,J_04,J_19,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
24,J_05,C_T,5,6.0,600.0,1492.4,726.2,148.2,515.3,0.8588,D,959746.4
25,J_05,J_04,20,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
26,J_05,J_06,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
27,J_05,J_07,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
28,J_06,J_05,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
29,J_06,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
30,J_06,J_10,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
31,J_07,J_05,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
32,J_07,J_08,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
33,J_08,J_07,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
34,J_08,J_09,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
35,J_08,J_12,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
36,J_09,J_08,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
37,J_09,J_06,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
38,J_09,J_11,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
39,J_10,J_06,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
40,J_10,J_11,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
41,J_10,J_13,70,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
42,J_11,J_10,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
43,J_11,J_09,70,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
44,J_11,J_12,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
45,J_11,J_14,60,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
46,J_12,J_11,40,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
47,J_12,J_08,75,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
48,J_13,D_T,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
49,J_13,J_14,60,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
50,J_13,J_10,70,5.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
