period,source,target,rank,distance_m,time_s,generalized_cost,allocation_pct,flow_person,path
noon,T_16_E,C_T,1,250,60.0,24.318,49.3,411,T_16_E → J_15 → J_16 → J_02 → J_03 → J_04 → J_05 → C_T
noon,T_16_E,C_T,2,350,83.9,33.931,25.3,211,T_16_E → J_15 → J_16 → J_18 → J_19 → J_04 → J_05 → C_T
noon,T_16_E,C_T,3,350,83.9,33.931,25.3,211,T_16_E → J_15 → J_17 → J_18 → J_19 → J_04 → J_05 → C_T
noon,T_16_E,C_X,1,340,81.5,32.969,35.1,184,T_16_E → J_15 → J_16 → J_18 → J_19 → J_20 → J_23 → C_X
noon,T_16_E,C_X,2,340,81.5,32.969,35.1,184,T_16_E → J_15 → J_17 → J_18 → J_19 → J_20 → J_23 → C_X
noon,T_16_E,C_X,3,370,88.7,35.853,29.7,156,T_16_E → J_15 → J_16 → J_18 → J_19 → J_49 → J_23 → C_X
noon,T_16_E,C_G,1,520,124.7,50.347,38.9,68,T_16_E → J_15 → J_16 → J_18 → J_19 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_E,C_G,2,520,124.7,50.347,38.9,68,T_16_E → J_15 → J_17 → J_18 → J_19 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_E,C_G,3,690,165.5,66.763,22.1,38,T_16_E → J_15 → J_16 → J_18 → J_19 → J_20 → J_23 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_E,C_S,1,480,115.1,46.464,38.2,179,T_16_E → J_15 → J_16 → J_18 → J_19 → J_20 → J_21 → J_22 → C_S
noon,T_16_E,C_S,2,480,115.1,46.464,38.2,179,T_16_E → J_15 → J_17 → J_18 → J_19 → J_20 → J_21 → J_22 → C_S
noon,T_16_E,C_S,3,610,146.3,59.035,23.6,111,T_16_E → J_15 → J_16 → J_18 → J_19 → J_20 → J_23 → J_24 → J_21 → J_22 → C_S
noon,T_16_W,C_T,1,180,43.2,17.515,56.3,696,T_16_W → J_01 → J_03 → J_04 → J_05 → C_T
noon,T_16_W,C_T,2,230,55.2,22.358,34.6,427,T_16_W → J_01 → J_02 → J_03 → J_04 → J_05 → C_T
noon,T_16_W,C_T,3,450,107.9,43.580,9.1,112,T_16_W → J_01 → J_02 → J_16 → J_18 → J_19 → J_04 → J_05 → C_T
noon,T_16_W,C_X,1,440,105.5,42.619,34.3,111,T_16_W → J_01 → J_02 → J_16 → J_18 → J_19 → J_20 → J_23 → C_X
noon,T_16_W,C_X,2,450,107.9,43.543,32.9,106,T_16_W → J_01 → J_03 → J_04 → J_19 → J_20 → J_23 → C_X
noon,T_16_W,C_X,3,450,107.9,43.618,32.8,106,T_16_W → J_01 → J_03 → J_02 → J_16 → J_18 → J_19 → J_20 → J_23 → C_X
