# 节点清单
# 格式: 节点名,类型
T_16_E,教学楼
T_16_W,教学楼
T_25,教学楼
D_T,宿舍
D_X,宿舍
D_C,宿舍
D_G,宿舍
C_T,餐厅
C_X,餐厅
C_G,餐厅
C_S,餐厅
J_01,交叉口
J_02,交叉口
J_03,交叉口
J_04,交叉口
J_05,交叉口
J_06,交叉口
J_07,交叉口
J_08,交叉口
J_09,交叉口
J_10,交叉口
J_11,交叉口
J_12,交叉口
J_13,交叉口
J_14,交叉口
J_15,交叉口
J_16,交叉口
J_17,交叉口
J_18,交叉口
J_19,交叉口
J_20,交叉口
J_21,交叉口
J_22,交叉口
J_23,交叉口
J_24,交叉口
J_25,交叉口
J_26,交叉口
J_27,交叉口
J_28,交叉口
J_29,交叉口
J_30,交叉口
J_31,交叉口
J_32,交叉口
J_33,交叉口
J_34,交叉口
J_35,交叉口
J_36,交叉口
J_37,交叉口
J_38,交叉口
J_39,交叉口
J_40,交叉口
J_41,交叉口
J_42,交叉口
J_43,交叉口
J_44,交叉口
J_45,交叉口
J_46,交叉口
J_47,交叉口
J_48,交叉口
J_49,交叉口

# 边清单
# 格式: 起点,终点,长度(m),宽度(m)
# === 建筑入口连接（5m，建筑门口到最近交叉口） ===
T_16_W,J_01,5,6
T_16_E,J_15,5,6
T_25,J_47,5,6
D_T,J_13,5,4
D_X,J_24,5,4
D_G,J_34,5,4
C_T,J_05,5,6
C_X,J_23,5,6
C_G,J_30,5,6
C_S,J_22,5,6
# === 路网主干 ===
J_01,J_02,80,8
J_01,J_03,60,8
J_02,J_03,30,8
J_03,J_04,90,8
J_04,J_05,20,8
J_05,J_06,90,8
J_05,J_07,100,8
J_07,J_08,80,8
J_08,J_09,40,6
J_09,J_06,70,6
J_06,J_10,90,8
J_10,J_11,60,8
J_09,J_11,70,6
J_11,J_12,40,6
J_08,J_12,75,6
J_11,J_14,60,6
J_14,J_13,60,5
J_10,J_13,70,5
J_15,J_16,40,8
J_15,J_17,40,8
J_16,J_18,50,8
J_17,J_18,50,8
J_18,J_19,90,8
J_19,J_20,80,8
J_19,J_49,80,8
J_20,J_21,60,8
J_21,J_22,150,8
J_21,J_24,70,8
J_20,J_23,100,8
J_23,J_24,50,8
J_24,J_25,150,8
J_49,J_26,120,8
J_25,J_26,110,8
J_25,J_28,70,8
J_27,J_28,110,8
J_26,J_27,80,8
J_28,J_29,50,8
J_27,J_30,50,8
J_29,J_30,90,8
J_29,D_C,40,5
D_C,J_31,20,5
J_31,J_32,90,8
J_32,J_33,70,8
J_33,J_34,80,8
J_34,J_35,100,8
J_35,J_36,60,8
J_36,J_37,30,8
J_37,J_38,220,8
J_29,J_39,110,8
J_30,J_40,100,8
J_39,J_40,80,8
J_40,J_41,60,8
J_41,J_43,80,8
J_42,J_43,80,8
J_39,J_42,120,8
J_37,J_42,140,8
J_38,J_43,120,8
J_41,J_44,110,8
J_38,J_48,200,8
J_44,J_46,170,8
J_46,J_45,40,8
J_45,J_47,152,8
J_47,J_48,110,8
# === 南北连接桥 ===
J_04,J_19,140,8
J_02,J_16,60,8
J_23,J_49,100,8
J_20,J_23,70,8
